Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[85.21814299092725, 48.917060770124145, 66.54320412543557]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[60.71213233615926, 42.56964636961469, 57.202408375837535]",18.300920132260927,0.0,0.7623257125680399,False,"(30, 120)","Interval: [57.202408375837535, 60.71213233615926] req=9.0 act=3.51"
2,AM-III,"[80.41660510250375, 65.72163613001379, 75.89047767045892]",14.912908559850564,0.0,0.8305351300016981,False,"(30, 150)","Interval: [75.89047767045892, 80.41660510250375] req=9.0 act=4.53"
3,AM-IV,"[52.13163063045372, 45.68454441382254, 51.01509212197123]",27.807143426663075,0.0,0.6388682671861938,False,"(30, 120)","Interval: [45.68454441382254, 51.01509212197123] req=9.0 act=5.33; Interval: [51.01509212197123, 52.13163063045372] req=9.0 act=1.12"
4,AM-V,"[66.84745303155245, 64.75040769010874, 62.18337030064157]",25.690249949576334,0.0,0.7080653414820871,False,"(30, 150)","Interval: [62.18337030064157, 64.75040769010874] req=9.0 act=2.57; Interval: [64.75040769010874, 66.84745303155245] req=9.0 act=2.10"
5,AM-VI,"[78.31896594819615, 62.5253892537647, 68.9941688068573]",1.0546751862114156,0.0,0.9893467152907938,False,"(30, 180)","Interval: [62.5253892537647, 68.9941688068573] req=9.0 act=6.47"
