Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[72.40522764366604, 46.49115479609975, 58.30749372218816]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[50.03041278868863, 45.50494859145296, 47.283868442043996]",23.85363557343829,0.0,0.690212525020282,False,"(30, 120)","Interval: [45.50494859145296, 47.283868442043996] req=9.0 act=1.78; Interval: [47.283868442043996, 50.03041278868863] req=9.0 act=2.75"
2,AM-III,"[77.40915676613972, 63.00277126370548, 65.99901128887055]",2.501566656181223,0.0,0.9715731061797588,False,"(30, 150)","Interval: [63.00277126370548, 65.99901128887055] req=9.0 act=3.00"
3,AM-IV,"[60.727059826235426, 51.73682364584206, 55.98330730786845]",16.16812341293242,0.0,0.7900243712606179,False,"(30, 120)","Interval: [51.73682364584206, 55.98330730786845] req=9.0 act=4.25; Interval: [55.98330730786845, 60.727059826235426] req=9.0 act=4.74"
4,AM-V,"[70.80491316563891, 65.66352428234391, 72.43432685011977]",37.4306581074138,0.0,0.5746516124157524,False,"(30, 150)","Interval: [65.66352428234391, 70.80491316563891] req=9.0 act=5.14; Interval: [70.80491316563891, 72.43432685011977] req=9.0 act=1.63"
5,AM-VI,"[68.17018562332655, 59.53194656215975, 59.322685941097724]",4.8686778706681775,0.0,0.9508214356498164,False,"(30, 180)","Interval: [59.322685941097724, 59.53194656215975] req=9.0 act=0.21; Interval: [59.53194656215975, 68.17018562332655] req=9.0 act=8.64"
