Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[76.28517898696963, 54.31567585333232, 26.724269242282013]",0.0,0.803382667051599,0.997913291773892,False,"(30, 120)",Range: 26.724269242282013 imp=3 dist=3.28
1,AM-II,"[69.58305949033434, 55.03379893203992, 37.652319845394906]",0.0,0.0,1.0,False,"(30, 120)",None
2,AM-III,"[95.7001137652409, 74.01599360947995, 46.47694345176478]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[66.54834774779937, 61.21762532298833, 39.23334546295373]",12.23092525062988,0.0,0.8411568149268847,False,"(30, 120)","Interval: [61.21762532298833, 66.54834774779937] req=9.0 act=5.33"
4,AM-V,"[69.32191429634989, 69.99728404907435, 56.4496203348058]",27.748767490918453,0.0,0.6846730966941085,False,"(30, 150)","Interval: [69.32191429634989, 69.99728404907435] req=9.0 act=0.68"
5,AM-VI,"[78.8038775983933, 65.44349413497287, 51.37071771507013]",0.0,0.0,1.0,False,"(30, 180)",None
