Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[64.81819389611984, 39.77658073555126, 70.72668990504917]",10.30501330356889,0.0,0.8661686583952092,False,"(30, 120)","Interval: [64.81819389611984, 70.72668990504917] req=9.0 act=5.91"
1,AM-II,"[51.04266234273217, 38.39647785351099, 57.957164426268434]",6.9516597215457905,0.0,0.9097187049149897,False,"(30, 120)","Interval: [51.04266234273217, 57.957164426268434] req=9.0 act=6.91"
2,AM-III,"[78.74195386186472, 61.37461010914083, 72.52055155388837]",9.261992306745507,0.0,0.8947500874233465,False,"(30, 150)","Interval: [72.52055155388837, 78.74195386186472] req=9.0 act=6.22"
3,AM-IV,"[62.34400818027344, 50.86321896390093, 63.09588226373723]",27.493753055120703,0.0,0.6429382720114194,False,"(30, 120)","Interval: [62.34400818027344, 63.09588226373723] req=9.0 act=0.75"
4,AM-V,"[69.18653484919247, 60.324165014134664, 78.23685113110584]",0.4587672164739824,0.0,0.994786736176432,False,"(30, 150)","Interval: [60.324165014134664, 69.18653484919247] req=9.0 act=8.86"
5,AM-VI,"[71.88563382088753, 56.78072418217124, 79.53248839606067]",4.510484749422877,0.0,0.9544395479856275,False,"(30, 180)","Interval: [71.88563382088753, 79.53248839606067] req=9.0 act=7.65"
