Dataset,Train_Samples,Test_Samples,Train_R2,Train_MAE,Test_R2,Test_MAE,Test_MSE,Test_RMSE,Best_n_estimators,Best_max_depth,Dataset_Directory,Model_File
AM-I-filtered_with_labels_k4,6018,670,0.9877615263684311,1.1507692333307002,0.7922264924582394,4.732056196478551,37.822400391825205,6.149991901769075,241,43,../../results/ml/RF-models/AM-I-filtered_with_labels_k4,random_forest_model.pkl
AM-II-filtered_with_labels_k4,1650,186,0.9496882873714667,1.541488419726471,0.71188826577047,3.484406792202472,24.6222978165816,4.962086034782307,151,32,../../results/ml/RF-models/AM-II-filtered_with_labels_k4,random_forest_model.pkl
