cluster,center_smile,center_index
0,COC(C=C1)=CC=C1NC2=CC=C(OC)C=C2,4912
1,C1(NC2=CC=CC=C2)=CC=CC=C1,4467
2,COC1=NC=C(C(C=N2)=CC=C2OC)C=C1,25
3,CC(NC1=CC=CC=C1)=O,3823
4,CC1=NC=C(C(C=C2)=CC=C2C)C=N1,388
5,CC(NC1=CC=CC=C1C)=O,3992
