cluster,center_smile,center_index
0,C1(CNC2=CC=CC=C2)=CC=CC=C1,4084
1,CN1N=CC=C1C2=CC=CC=C2,1057
2,CC1=CN=C(OC2=CC=CC=C2)N=C1,5492
3,C1(NC2=CC=CC=C2)=CC=CC=C1,4467
4,COC1=NC=C(C2=CN=C(N=C2)OC)C=N1,470
