cluster,center_smile,center_index
0,Cc1ccc(cc1)N1CCOCC1,2832
1,CC1=NC=C(C(C=C2)=CC=C2C)C=N1,388
2,CC1=CN=C(OC2=CC=CC=C2)N=C1,5492
3,C1(NC2=CC=CC=C2)=CC=CC=C1,4467
