k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.3935282698891316,1.7199366862957397,0.38509285,5.809127
3,0.45017689084694473,1.983865425362063,0.397601,6.946408
4,0.4587453176515293,1.995175007610648,0.40044942,6.566487
5,0.4124745110758108,1.933837827642718,0.39656925,9.385774
6,0.3826113531303792,1.8989014216825832,0.4489925,8.939713
