cluster,center_smile,center_index
0,CC(NC1=CC=CC=C1)=O,3823
1,C1(NC2=CC=CC=C2)=CC=CC=C1,4467
2,COC1=NC=C(C(C=N2)=CC=C2OC)C=C1,25
