Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[80.98246917973032, 65.02059492023042, 31.73050856037209]",0.0,0,1.0,False,"(30, 120)",None
1,AM-II,"[61.739565051501295, 58.1648215697575, 34.9286759115518]",18.08418839418735,0,0.7651404104650994,False,"(30, 120)","Interval: [58.1648215697575, 61.739565051501295] req=9 act=3.57"
2,AM-III,"[92.00672631586812, 85.5362067078548, 41.19325005191101]",8.43160130662227,0,0.9041863487883833,False,"(30, 150)","Interval: [85.5362067078548, 92.00672631586812] req=9 act=6.47"
3,AM-IV,"[65.03419524987373, 62.89034688688832, 41.359334557810534]",22.853838790048613,0,0.7031968988305375,False,"(30, 120)","Interval: [62.89034688688832, 65.03419524987373] req=9 act=2.14"
4,AM-V,"[71.39919594168424, 72.53710398904407, 62.65813116623331]",27.070090590630805,0,0.6923853341973772,False,"(30, 150)","Interval: [62.65813116623331, 71.39919594168424] req=9 act=8.74; Interval: [71.39919594168424, 72.53710398904407] req=9 act=1.14"
5,AM-VI,"[79.83408277745127, 75.82537589701734, 56.07736220946093]",16.637643731886886,0,0.8319429926072032,False,"(30, 180)","Interval: [75.82537589701734, 79.83408277745127] req=9 act=4.01"
