Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[41.72080049472717, 25.63280461736536, 55.96533311467256]",0.0,1.7658919310155703,0.9954132677116478,False,"(30, 120)",Range: 25.63280461736536 imp=2 dist=4.37
1,AM-II,"[35.78711330555265, 25.765897339337258, 52.24639418983136]",0.0,1.7120753867085263,0.9955530509436142,False,"(30, 120)",Range: 25.765897339337258 imp=2 dist=4.23
2,AM-III,"[57.9950404269438, 45.798410639728814, 74.48058153214274]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[43.81751811000927, 42.52241406526611, 54.12412777902542]",25.682986517522817,0.0,0.6664547205516518,False,"(30, 120)","Interval: [42.52241406526611, 43.81751811000927] req=9.0 act=1.30"
4,AM-V,"[63.48226419082293, 58.12922387269445, 65.87542423293164]",34.179332132542726,0.0,0.6115984984938327,False,"(30, 150)","Interval: [58.12922387269445, 63.48226419082293] req=9.0 act=5.35; Interval: [63.48226419082293, 65.87542423293164] req=9.0 act=2.39"
5,AM-VI,"[67.4378232345546, 55.64844294406443, 78.7480347482217]",0.0,0.0,1.0,False,"(30, 180)",None
