Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
SNAr,CC1=CN=C(N2C(C=CN=C3)=C3C=C2)N=C1,C12=C(NC=C2)C=CN=C1,CC1=CN=C(Cl)N=C1,['AM-II'],AM-II,0.9998495800007373,,,,,42.617140475117395,29.856779623283437,54.20452490318697,0.9213822300083435,0.9998495800007373,0.48204945675690913,0.6348185685939634,0.6889602754673223,0.6308588306606646,,,,,,,,,,,,
SNAr,CC1=CC=CC(NC2=CC(C(C)=O)=CC=C2)=N1,NC1=CC(C(C)=O)=CC=C1,CC1=CC=CC(F)=N1,['AM-III'],AM-III,0.8496353501458492,,,,,,,,0.6310910042756752,0.5893798325926587,0.8496353501458492,0.6279605420941337,0.7059343880557474,0.7167454311178288,,,,77.14776365826802,59.846248788355155,72.1173904144176,,,,,,
SNAr,N#CC1=CC=CN=C1NC2=CC=CC(C)=C2C,NC1=CC=CC(C)=C1C,N#CC1=CC=CN=C1F,['AM-III'],AM-III,1.0,,,,,,,,0.9576744936062024,0.9957026554961214,1.0,0.7051398626396412,0.7082763483952053,0.6000039544314401,,,,87.3898961874263,74.78833829523316,62.074192757768145,,,,,,
SNAr,O=[N+]([O-])C1=CN=C(NC2=CC(C#C)=CC=C2)C(C)=C1,C#CC1=CC=CC(N)=C1,O=[N+](C1=CN=C(F)C(C)=C1)[O-],"['AM-I', 'AM-III']","AM-I, AM-III",1.0,,79.59509910152372,45.61759097829942,66.6084603503237,,,,1.0,0.9653640981773679,1.0,0.8868770651841553,0.5609791247102562,0.759261214302799,,,,96.62020496322009,70.11268968149102,81.22424869244887,,,,,,
SNAr,N#CC1=CC=C(N2C(C)=CC3=C2C=CC=C3)C=C1C(F)(F)F,CC(N1)=CC2=C1C=CC=C2,N#CC1=CC=C(F)C=C1C(F)(F)F,"['AM-I', 'AM-VI']","AM-I, AM-VI",1.0,,88.95854922352139,62.57819160980078,75.29464635767657,,,,1.0,0.9765435531237436,0.9981161754356115,0.90576985448074,0.4959051131325325,1.0,,,,,,,93.28401781271026,69.3286040012457,80.41279713954128,,,
SNAr,CC1=CN=C(N2C(C=CN=C3)=C3C=C2)N=C1,C12=C(NC=C2)C=CN=C1,CC1=CN=C(Br)N=C1,['AM-II'],AM-II,0.9998495800007373,,,,,42.617140475117395,29.856779623283437,55.75319690972589,0.9987368888306897,0.9998495800007373,0.5145475952303772,0.6348185685939634,0.7005048200004139,0.735632923830146,,,,,,,,,,,,
SNAr,CCCCN1CCN(C2=CC=CC(C(F)(F)F)=C2C#N)CC1,CCCCN1CCNCC1,N#CC1=C(C(F)(F)F)C=CC=C1F,"['AM-I', 'AM-III']","AM-I, AM-III",1.0,,58.81806056008948,33.70951710218584,80.61713584242844,,,,1.0,0.9127616277189479,1.0,0.8641516860200924,0.654697083793564,0.7906221738251819,,,,97.60925806191113,68.03171134517635,86.33450443773802,,,,,,
SNAr,O=[N+]([O-])C1=CC=C(NC2=CC=CC=C2C)N=C1C,NC1=CC=CC=C1C,O=[N+](C1=CC=C(F)N=C1C)[O-],['AM-I'],AM-I,1.0,,81.61787387994161,48.788672612558614,66.54320412543557,,,,1.0,0.998062964401227,0.9789244551972625,0.7954732404727357,0.7322957385903899,0.7092276742296688,,,,,,,,,,,,
SNAr,O=[N+]([O-])C1=CC=C(NC2CCCC2)N=C1C,NC1CCCC1,O=[N+](C1=CC=C(F)N=C1C)[O-],"['AM-I', 'AM-II']","AM-I, AM-II",1.0,,82.21769968415576,47.459529138649074,66.54320412543557,69.58315063211253,44.5444211212107,57.202408375837535,1.0,1.0,0.964934438994229,0.34724311678577524,0.747617097825366,0.711849725564541,,,,,,,,,,,,
SNAr,O=[N+]([O-])C1=CC=C(N(CCOC)C(C)C)N=C1C,CC(NCCOC)C,O=[N+](C1=CC=C(F)N=C1C)[O-],['AM-I'],AM-I,1.0,,85.21814299092725,48.917060770124145,66.54320412543557,,,,1.0,0.7623257125680399,0.8305351300016981,0.6388682671861938,0.7080653414820871,0.9893467152907938,,,,,,,,,,,,
