Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[75.07047484811537, 37.3584481987548, 63.179183723934656]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[51.38302100422549, 39.71461192305918, 53.01611756519923]",24.5563447967542,0.0,0.6810864312109843,False,"(30, 120)","Interval: [51.38302100422549, 53.01611756519923] req=9.0 act=1.63"
2,AM-III,"[78.66091503663102, 61.14871524369332, 72.45038794876359]",9.29824304044189,0.0,0.8943381472677058,False,"(30, 150)","Interval: [72.45038794876359, 78.66091503663102] req=9.0 act=6.21"
3,AM-IV,"[61.05737324565451, 46.92933793791176, 58.44950079980962]",21.3070918471837,0.0,0.7232845214651468,False,"(30, 120)","Interval: [58.44950079980962, 61.05737324565451] req=9.0 act=2.61"
4,AM-V,"[70.44872989007621, 59.955287086975915, 75.8406197785807]",12.027033704985021,0.0,0.863329162443352,False,"(30, 150)","Interval: [70.44872989007621, 75.8406197785807] req=9.0 act=5.39"
5,AM-VI,"[70.32085013816031, 55.75953087676367, 64.09596810223623]",9.526877702972826,0.0,0.9037689120911836,False,"(30, 180)","Interval: [55.75953087676367, 64.09596810223623] req=9.0 act=8.34; Interval: [64.09596810223623, 70.32085013816031] req=9.0 act=6.22"
