Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[71.7405745712408, 47.251743787512765, 59.85698663652312]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[53.2564426644579, 44.66749939516108, 52.86161104051814]",29.01968140130203,0.0,0.6231210207623112,False,"(30, 120)","Interval: [44.66749939516108, 52.86161104051814] req=9.0 act=8.19; Interval: [52.86161104051814, 53.2564426644579] req=9.0 act=0.39"
2,AM-III,"[82.05927162472295, 64.35605136879553, 71.72510817724972]",0.6795596631440878,0.0,0.9922777311006353,False,"(30, 150)","Interval: [64.35605136879553, 71.72510817724972] req=9.0 act=7.37"
3,AM-IV,"[64.94091523725933, 53.33407616861103, 59.317678005161106]",12.512708461110046,0.0,0.8374972927128566,False,"(30, 120)","Interval: [53.33407616861103, 59.317678005161106] req=9.0 act=5.98; Interval: [59.317678005161106, 64.94091523725933] req=9.0 act=5.62"
4,AM-V,"[73.42085236903341, 67.2037378208645, 75.60972071505928]",31.98005701935074,0.0,0.6365902611437416,False,"(30, 150)","Interval: [67.2037378208645, 73.42085236903341] req=9.0 act=6.22; Interval: [73.42085236903341, 75.60972071505928] req=9.0 act=2.19"
5,AM-VI,"[69.32588151474522, 57.46421957230791, 61.2950179934131]",5.384288920099097,0.0,0.9456132432313222,False,"(30, 180)","Interval: [57.46421957230791, 61.2950179934131] req=9.0 act=3.83; Interval: [61.2950179934131, 69.32588151474522] req=9.0 act=8.03"
