Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[64.23198344667378, 51.3061597428397, 43.0281311141981]",0.3008214047326696,0.0,0.9960932285099653,False,"(30, 120)","Interval: [43.0281311141981, 51.3061597428397] req=9.0 act=8.28"
1,AM-II,"[56.25188638962372, 52.25751075683767, 43.07517626526109]",16.685414557379826,0.0,0.7833063044496127,False,"(30, 120)","Interval: [52.25751075683767, 56.25188638962372] req=9.0 act=3.99"
2,AM-III,"[76.83326086710426, 67.55112882878691, 62.9301358875303]",1.8245862744764096,0.0,0.979266065062768,False,"(30, 150)","Interval: [62.9301358875303, 67.55112882878691] req=9.0 act=4.62"
3,AM-IV,"[61.59085429379706, 53.776634783333314, 51.596575647328415]",6.794243658452146,0.0,0.9117630693707514,False,"(30, 120)","Interval: [51.596575647328415, 53.776634783333314] req=9.0 act=2.18; Interval: [53.776634783333314, 61.59085429379706] req=9.0 act=7.81"
4,AM-V,"[70.28868861545419, 70.24490008303789, 69.33715536664181]",33.225811260113964,0.0,0.6224339629532504,False,"(30, 150)","Interval: [69.33715536664181, 70.24490008303789] req=9.0 act=0.91; Interval: [70.24490008303789, 70.28868861545419] req=9.0 act=0.04"
5,AM-VI,"[72.6230725893029, 59.35027402618171, 53.43042275340727]",1.283395303010651,0.0,0.9870364110807005,False,"(30, 180)","Interval: [53.43042275340727, 59.35027402618171] req=9.0 act=5.92"
