Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[72.09092242757629, 47.251743787512765, 57.61755791273702]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[58.2197096371476, 44.66749939516108, 54.48969303694333]",17.566611332652425,0.0,0.7718621904850335,False,"(30, 120)","Interval: [54.48969303694333, 58.2197096371476] req=9.0 act=3.73"
2,AM-III,"[93.310344054908, 64.35605136879553, 76.17015156637035]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[60.763467258162386, 53.33407616861103, 52.612551040695855]",8.684727564864149,0.0,0.8872113303264396,False,"(30, 120)","Interval: [52.612551040695855, 53.33407616861103] req=9.0 act=0.72; Interval: [53.33407616861103, 60.763467258162386] req=9.0 act=7.43"
4,AM-V,"[69.23791288373332, 67.2037378208645, 70.52007219852715]",48.945552074457865,0.0,0.44380054460843343,False,"(30, 150)","Interval: [67.2037378208645, 69.23791288373332] req=9.0 act=2.03; Interval: [69.23791288373332, 70.52007219852715] req=9.0 act=1.28"
5,AM-VI,"[72.184711818366, 57.46421957230791, 68.63575064904903]",18.170129435610107,0.0,0.8164633390342413,False,"(30, 180)","Interval: [68.63575064904903, 72.184711818366] req=9.0 act=3.55"
