Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[88.23085314308175, 59.88764322077486, 71.03771994053693]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[64.91549416182389, 52.71426162134743, 59.41247403118954]",12.615677727117964,0.0,0.8361600295179485,False,"(30, 120)","Interval: [52.71426162134743, 59.41247403118954] req=9.0 act=6.70; Interval: [59.41247403118954, 64.91549416182389] req=9.0 act=5.50"
2,AM-III,"[100.79073549280909, 77.83262127071694, 81.30656609627442]",2.3025229893510493,0.0,0.9738349660301017,False,"(30, 150)","Interval: [77.83262127071694, 81.30656609627442] req=9.0 act=3.47"
3,AM-IV,"[69.92105314593834, 55.46844771747015, 60.28985243053682]",1.7410813695555543,0.0,0.9773885536421356,False,"(30, 120)","Interval: [55.46844771747015, 60.28985243053682] req=9.0 act=4.82"
4,AM-V,"[76.04028442010396, 73.92038367064391, 81.63250831778512]",34.292917842862636,0.0,0.6103077517856519,False,"(30, 150)","Interval: [73.92038367064391, 76.04028442010396] req=9.0 act=2.12; Interval: [76.04028442010396, 81.63250831778512] req=9.0 act=5.59"
5,AM-VI,"[90.96410381573622, 66.69536093066249, 70.906555871611]",1.9953354412714515,0.0,0.9798450965528136,False,"(30, 180)","Interval: [66.69536093066249, 70.906555871611] req=9.0 act=4.21"
