Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[85.08415007444668, 54.31567585333232, 31.955002955496212]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[55.95006585127037, 55.03379893203992, 29.293812393355097]",26.945776935898518,0.17319460139648354,0.6496049888808075,False,"(30, 120)","Interval: [55.03379893203992, 55.95006585127037] req=9.0 act=0.92; Range: 29.293812393355097 imp=3 dist=0.71"
2,AM-III,"[93.01971037054722, 74.01599360947995, 40.76778552122161]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[70.77278305080844, 61.21762532298833, 39.55564129993902]",0.0,0.0,1.0,False,"(30, 120)",None
4,AM-V,"[68.9874396744831, 69.99728404907435, 58.004098619334556]",26.63385208469582,0.0,0.6973425899466383,False,"(30, 150)","Interval: [68.9874396744831, 69.99728404907435] req=9.0 act=1.01"
5,AM-VI,"[66.16358171501105, 65.44349413497287, 46.55781918537878]",27.599708066539392,0.0,0.7212150700349556,False,"(30, 180)","Interval: [65.44349413497287, 66.16358171501105] req=9.0 act=0.72"
