Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[81.61787387994161, 48.788672612558614, 66.54320412543557]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[70.73507406031933, 48.5603725544908, 57.202408375837535]",0.1491517411055258,0.0,0.998062964401227,False,"(30, 120)","Interval: [48.5603725544908, 57.202408375837535] req=9.0 act=8.64"
2,AM-III,"[96.92733890839781, 71.34163273279708, 75.89047767045892]",1.8546479426408997,0.0,0.9789244551972625,False,"(30, 150)","Interval: [71.34163273279708, 75.89047767045892] req=9.0 act=4.55"
3,AM-IV,"[61.05326677836168, 56.31536960936581, 51.01509212197123]",15.748560483599352,0.0,0.7954732404727357,False,"(30, 120)","Interval: [51.01509212197123, 56.31536960936581] req=9.0 act=5.30; Interval: [56.31536960936581, 61.05326677836168] req=9.0 act=4.74"
4,AM-V,"[69.32919116793988, 66.85561415036959, 62.18337030064157]",23.557975004045684,0.0,0.7322957385903899,False,"(30, 150)","Interval: [62.18337030064157, 66.85561415036959] req=9.0 act=4.67; Interval: [66.85561415036959, 69.32919116793988] req=9.0 act=2.47"
5,AM-VI,"[68.32840540824347, 59.63010688223614, 68.9941688068573]",28.786460251262795,0.0,0.7092276742296688,False,"(30, 180)","Interval: [59.63010688223614, 68.32840540824347] req=9.0 act=8.70; Interval: [68.32840540824347, 68.9941688068573] req=9.0 act=0.67"
