Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[74.13750585274771, 25.15228364304631, 97.52973857712618]",0.0,1.9601924000552302,0.9949085911686877,False,"(30, 120)",Range: 25.15228364304631 imp=2 dist=4.85
1,AM-II,"[67.09136153892408, 43.28285165262984, 73.10114201928153]",9.967398398808504,0.0,0.8705532675479415,False,"(30, 120)","Interval: [67.09136153892408, 73.10114201928153] req=9.0 act=6.01"
2,AM-III,"[104.4434027963598, 56.95386400453171, 105.59078270876878]",26.175400291970067,0.0,0.702552269409431,False,"(30, 150)","Interval: [104.4434027963598, 105.59078270876878] req=9.0 act=1.15"
3,AM-IV,"[67.56183444740063, 43.429706537153386, 77.38872240578581]",0.0,0.0,1.0,False,"(30, 120)",None
4,AM-V,"[68.28546131792223, 58.88978175256875, 74.56861108383737]",9.05616744694953,0.0,0.8970890062846644,False,"(30, 150)","Interval: [68.28546131792223, 74.56861108383737] req=9.0 act=6.28"
5,AM-VI,"[92.5377639452096, 56.87121754165861, 108.37133969075151]",0.0,0.0,1.0,False,"(30, 180)",None
