SMILES,UV_RT-s,Method
CC1=CC=C(C2=CC=CC3=C2C=NN3)C(C)=N1,66.6,AM-IV
O=C(NC1CCN(CC2=CC=CC=C2)CC1)C3=NC=CN=C3,66.6,AM-IV
COC1=CN=C(C2=CC=NC=C2)C=C1,66.6,AM-IV
NC1=CC(C2=CC=C(CN3CCOCC3)C=C2)=NC=C1,66.6,AM-IV
NC1=NC2=C(C=C(C=C2)OC3=NC(C)=CC=C3)S1,66.6,AM-IV
CC1=NC=CC(C2=CC=CS2)=C1,66,AM-IV
CC(NC1=CC=C(C2=NC=CC=C2)C=C1)=O,66,AM-IV
CC(C1=NC=C(C2=CC(C)=NC=C2)C=C1)=O,66,AM-IV
NC(C1=CC=CN=C1C(C=N2)=CC=C2OC)=O,66,AM-IV
CC1=NC=CC(C2=CC3=C(C=C2)C=NC=C3)=C1,66,AM-IV
CC1=NC=CC=C1C2=CC=CN=C2F,66,AM-IV
COC1=NC(OC)=NC(NCCN2CCCCC2)=N1,66,AM-IV
CCC1=CN=C(C=C1)N2CCOCC2,66,AM-IV
CN1N=CC(C2=CC=C(CN3CCOCC3)C=C2)=C1,66,AM-IV
COC1=CC(C2=CC=CO2)=NC=C1,66,AM-IV
OCCC1CCN(C2=CC=C(N=C2)C)CC1,66,AM-IV
COC1=CN=C(C=C1)CNC2=NC=CN=C2,66,AM-IV
CC(NC1=NC=CC2=C1C=CC=C2)=O,65.4,AM-IV
NC1=CC(C2=CC(CN3CCOCC3)=CC=C2)=CC=C1,65.4,AM-IV
CC1=CN=CC(C2=C3N=CC=CN3N=C2)=C1,65.4,AM-IV
COC(N=C1)=CC=C1NC(C=C2)=CN=C2C,65.4,AM-IV
CC1=NN=C(C2=CN(N=C2)C)C=C1,65.4,AM-IV
CCC1=CN=C(C=C1)N2CCOCC2,65.4,AM-IV
NC1=C(C=CC(C(NC2CC2)=O)=C1)C,65.4,AM-IV
COC1=CN=C(C2=CC=NC=C2)C=C1,65.4,AM-IV
COC1=CC(C2=CC=NC=C2)=NC=C1,65.4,AM-IV
CN1N=CC(C2=CC=C(CN3CCOCC3)C=C2)=C1,65.4,AM-IV
COC1=CC(C(C=C2)=CC=C2CO)=NC=C1,65.4,AM-IV
NC1=CC(C#CC2=CN=CN2C)=CC=C1,65.4,AM-IV
NC1=NC2=C(C=C(C=C2)OC3=NC=CC=C3OC)S1,65.4,AM-IV
C1(/C=C/C2=CC=NC=C2)=CN3C(C=C1)=NC=N3,65.4,AM-IV
O=C(C1=NC=CC(/C=C/C2=CC=NC=C2)=C1)OC,65.4,AM-IV
CN1N=C(/C=C/C2=NC=CC=C2)C=C1,65.4,AM-IV
Cc1ncc(Nc2cccc3cnccc23)cn1,64.8,AM-IV
N#CC1=C(C2=CNC=N2)C=CC(F)=C1,64.8,AM-IV
NC1=CC(C2=CC(CN3CCOCC3)=CC=C2)=CC=C1,64.8,AM-IV
CC1=NC=C(C2=CC(C)=NC=C2)C=N1,64.8,AM-IV
CCN1C(CNC2=NC(OC)=NC(OC)=N2)CCC1,64.8,AM-IV
COC1=NC(OC)=NC(NCCC2=CC=CN=C2)=N1,64.8,AM-IV
CCN1C(CNC(N=C2)=NC=C2C)CCC1,64.8,AM-IV
CC1=NC2=CC=CC=C2C(C)=C1,64.8,AM-IV
CCC1=NC=CC2=C1C=CC=C2,64.8,AM-IV
CC(C(C(C)=N1)=CC=C1C)=C,64.8,AM-IV
CC1=CN=C(N2CCCC2)N=C1,64.8,AM-IV
COC1=CC(C2=CC=CO2)=NC=C1,64.8,AM-IV
CN1C=C(C2=NC=CC(N3CCOCC3)=N2)C=N1,64.8,AM-IV
NC1=CC=C(C2=C(NN=C2C)C)C=C1OC,64.8,AM-IV
NC1=CC(C(C=C2)=CC=C2C=O)=NC=C1,64.8,AM-IV
C1(/C=C/C2=CC=NC=C2)=CN3C(N=C1)=CC=N3,64.8,AM-IV
C1(/C=C/C2=CC=NC=C2)=CN=C(C=C1)N3CCOCC3,64.8,AM-IV
C1(/C=C/C2=NC=CC=C2)=CN3C(C=N1)=NC=C3,64.8,AM-IV
CN1N=C(/C=C/C2=NC=CC=C2)C=C1,64.8,AM-IV
CC1=NC=CC(/C=C/C2=NC=CC=C2)=C1,64.8,AM-IV
CN1C=CC(CNC23CC4CC(CC(C4)(C3)O)C2)=N1,64.8,AM-IV
CC(C1=CC=CC=C1N=C2CC3)=C2CC3NC(C)=O,64.2,AM-IV
CC1=CC=C(C2=CC(F)=NC=C2)C(C)=N1,64.2,AM-IV
C1(C2=NNC=C2)=CN=C(C=C1)N3CCOCC3,64.2,AM-IV
CC1=NC=CC(C2=NC=CC=C2)=C1,64.2,AM-IV
CC1=CC=C(C2=CC(F)=CN=C2)C(C)=N1,64.2,AM-IV
C1(C2=CN=CC=C2)=NC=CC=C1,64.2,AM-IV
FC1=NC=C(C2=CC(C)=NC=C2)C=N1,64.2,AM-IV
CN1C(C2=CN=C(N=C2OC)OC)=CN=C1,64.2,AM-IV
CC(C1=NC=CC=C1OC)=C,64.2,AM-IV
CN1CCN(C(C2=NC3=CC=CC=C3N=C2)=O)CC1,64.2,AM-IV
CN(N=C1)C=C1NC(C2=CC=C3N=C(C=CC3=C2)C)=O,64.2,AM-IV
O=C(NCC1=NC=CN=C1)C2CCCO2,64.2,AM-IV
CN1C=C(C2=NC=CC(N3CCOCC3)=N2)C=N1,64.2,AM-IV
NC1=CC=C(C2=C(NN=C2C)C)C=C1OC,64.2,AM-IV
NC1=NC=C(C(C=C2)=CC=C2O)C=C1,64.2,AM-IV
NC1=NC=CC=C1C2=CC(F)=C(N)C=C2,64.2,AM-IV
Cc1c(N)c(C)cc(OC(C=C2)=NN=C2C)c1,64.2,AM-IV
CC1=CC=C(/C=C/C(NC(C)C)=O)C(C)=N1,64.2,AM-IV
O=C1N(/C=C/C2=CN3C(C=C2)=NC=C3)CCC1,64.2,AM-IV
C1(CNCC2=CC=NC=C2)=CC=C(C=C1)N3N=CC=C3,64.2,AM-IV
OCC1CCCN1c2cc(C)nc(N)n2,63.6,AM-IV
Cn1cc(Nc2ncc(B(O)O)cn2)cn1,63.6,AM-IV
CC1=NC=CC(NC(C=N2)=CN=C2OC)=C1,63.6,AM-IV
NC1=NC=C(C2=NC=C3C(NC=C3)=N2)C=N1,63.6,AM-IV
CCN1C(CNC2=NC=C(N(=O)=O)C=N2)CCC1,63.6,AM-IV
CN1C(CCNC(C2=CC=C3N=CC=NC3=C2)=O)CCC1,63.6,AM-IV
C1(N(CC2)CCC2N3CCCCC3)=NC4=CC=CC=C4C=C1,63.6,AM-IV
CC1=CC=CC(N(CCC2)C2CO)=N1,63.6,AM-IV
CC1=NC(N(CC2)CCN2CCOC)=NC=C1,63.6,AM-IV
CC1=NN=C(C2=CNN=C2C)C=C1,63.6,AM-IV
O=C(C1=CC=C(C2=CN=C3C=CNC3=C2)C=C1)N,63.6,AM-IV
NC1=NC=CC=C1C2=CC(F)=C(N)C=C2,63.6,AM-IV
CN1C=C(C2=CN=C3C=CNC3=C2)C=N1,63.6,AM-IV
FC1=CC(C#CCN2CCOCC2)=NC=C1,63.6,AM-IV
N1(CCOCC1)CC#CC2=CC=C3NN=CC3=C2,63.6,AM-IV
FC1=CN=CC(OC2=CC(C)=NC=C2)=C1,63.6,AM-IV
CN1N=C(/C=C/C2=CC=NC=C2)C=C1,63.6,AM-IV
COC1=CN=CC(/C=C/C2=CC=NC=C2)=C1,63.6,AM-IV
O=C(/C=C/C1=CN2C(C=C1)=NC=C2)N3CCOCC3,63.6,AM-IV
CC1=NC=C(/C=C/C(NC(C)C)=O)C=C1,63.6,AM-IV
CC1=NC=CC(/C=C/C(NC(C)C)=O)=C1,63.6,AM-IV
CC1=CC=C(/C=C/N(CCC2)C2=O)C(C)=N1,63.6,AM-IV
[O-][N+](C(C=C1)=CC=C1CNCC2=CC=NC=C2)=O,63.6,AM-IV
CN1C=CN=C1CNC2=CC=C3NC=CC3=C2,63.6,AM-IV
COc1cnc(Nc2cccnc2C)nc1,63,AM-IV
OCC1CCCN1c2ncc(B(O)O)cn2,63,AM-IV
OCC1CCCN1c2ccc(OC)cn2,63,AM-IV
CC1=NC=CC(C2=CC(F)=NC=C2)=C1,63,AM-IV
NC1=CC(C(C=C2)=CC=C2C(O)=O)=NC=C1,63,AM-IV
COC(C1=NN(C)C=C1C2=CC=NC=C2)=O,63,AM-IV
COC1=CC(C2=CN(N=C2)C)=NC=C1,63,AM-IV
C1(NC2=NC=CN=C2)=CC=CN3C1=NC=C3,63,AM-IV
FC1=CC(C#CCN2CCOCC2)=CN=C1,63,AM-IV
NC1=NC2=C(C=C(C=C2)OC3=NC=CC(CO)=C3)S1,63,AM-IV
CC1=CC=C(/C=C/C2=NC=CC=C2)C(C)=N1,63,AM-IV
CC1=NC=CC(/C=C/N(CCC2)C2=O)=C1,63,AM-IV
COC1=NC=C(N2C3=CC=CN=C3C=C2)C=N1,63,AM-IV
CNC(C1=CC=C(NC2=NC=CC=C2)C=C1)=O,63,AM-IV
Cc1ccnc(Nc2ccncc2)n1,62.4,AM-IV
CC(NC1=CN=CC2=C1C=CC=C2)=O,62.4,AM-IV
CN1C=C(C=N1)NC2=NC(N)=NC(C)=C2,62.4,AM-IV
CN1N=CC=C1C2=CC=CN=C2,62.4,AM-IV
NC1=CC=CN=C1C2=CC=CC=C2OC,62.4,AM-IV
OCC#CC1=CN2C(C=N1)=NC=C2,62.4,AM-IV
CC(C)(C#CC1=CC(C)=NC=C1)O,62.4,AM-IV
CC(C1=CC=C(N2C=CN=C2)C=C1)=O,62.4,AM-IV
CC1=NC=C(N2CCOCC2)C=C1,62.4,AM-IV
CC1=NC=CC=C1N(CCC2)C2CO,62.4,AM-IV
COC1=CN=C(C2=CNN=C2)C=C1,62.4,AM-IV
COC(C1=NN(C)C=C1C2=CC=NC=C2)=O,62.4,AM-IV
CN1C=C(C2=CN=C3C=CNC3=C2)C=N1,62.4,AM-IV
N1(CCOCC1)CC#CC2=C3C=CN=CC3=CC=C2,62.4,AM-IV
