feature,importance
fp_701,21.08812713623047
fp_461,21.035968780517578
fp_638,21.028528213500977
col764,20.967626571655273
fp_322,20.91790199279785
fp_32,20.829875946044922
fp_128,20.491849899291992
fp_355,20.410972595214844
fp_863,20.35210418701172
fp_389,20.13981819152832
fp_784,20.108844757080078
col393,19.47328758239746
fp_673,19.437883377075195
fp_877,19.33367156982422
fp_675,19.33014488220215
fp_89,19.226516723632812
fp_162,19.085493087768555
fp_486,19.079317092895508
fp_65,19.062162399291992
fp_494,19.001062393188477
fp_376,18.889802932739258
fp_369,18.677513122558594
fp_329,18.639453887939453
fp_365,18.62462043762207
fp_653,18.59640884399414
fp_668,18.58066177368164
fp_576,18.349401473999023
fp_11,18.31771469116211
fp_974,18.314838409423828
col264,18.294124603271484
H_bond_acceptors,18.145753860473633
fp_639,18.13954734802246
fp_333,17.995637893676758
fp_920,17.955434799194336
fp_35,17.936359405517578
fp_211,17.904949188232422
fp_824,17.8403263092041
fp_512,17.773439407348633
fp_907,17.631122589111328
fp_312,17.58333396911621
fp_1000,17.57685661315918
fp_960,17.569337844848633
fp_472,17.51495933532715
fp_728,17.222810745239258
fp_980,17.192138671875
fp_300,17.184646606445312
col768,17.167476654052734
fp_671,17.14478302001953
fp_23,17.131980895996094
fp_122,17.085601806640625
fp_600,16.929298400878906
fp_680,16.914480209350586
fp_894,16.902626037597656
col766,16.902196884155273
col478,16.797237396240234
col806,16.751853942871094
fp_506,16.698129653930664
fp_996,16.62891960144043
fp_875,16.48407554626465
fp_59,16.4667911529541
fp_342,16.349031448364258
fp_314,16.328773498535156
fp_489,16.2869873046875
fp_708,16.254785537719727
fp_828,16.107934951782227
fp_745,16.086767196655273
fp_871,15.7496337890625
fp_657,15.747883796691895
fp_413,15.580314636230469
fp_7,15.488922119140625
fp_983,15.396475791931152
fp_311,15.391302108764648
fp_864,15.324027061462402
fp_386,15.3065185546875
fp_930,15.29380989074707
fp_726,15.122151374816895
fp_606,14.946125984191895
fp_363,14.945490837097168
fp_432,14.9043607711792
fp_1,14.882746696472168
fp_212,14.827742576599121
fp_185,14.812198638916016
fp_352,14.781888008117676
fp_566,14.766420364379883
fp_883,14.636725425720215
fp_80,14.526626586914062
fp_577,14.51229476928711
fp_872,14.512203216552734
fp_967,14.35418701171875
fp_656,14.23280143737793
fp_255,14.166396141052246
fp_684,14.151144027709961
fp_584,14.148666381835938
fp_433,14.130213737487793
fp_490,14.12881088256836
fp_374,14.031725883483887
fp_736,14.011465072631836
fp_661,13.998091697692871
