Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[66.74582199505396, 37.3584481987548, 55.616426006761046]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[48.16144527790094, 39.71461192305918, 52.45429852872236]",17.53437798112273,0.0,0.7722808054399646,False,"(30, 120)","Interval: [39.71461192305918, 48.16144527790094] req=9.0 act=8.45; Interval: [48.16144527790094, 52.45429852872236] req=9.0 act=4.29"
2,AM-III,"[76.80878257126327, 61.14871524369332, 68.41340846478934]",2.738464136296912,0.0,0.9688810893602624,False,"(30, 150)","Interval: [61.14871524369332, 68.41340846478934] req=9.0 act=7.26; Interval: [68.41340846478934, 76.80878257126327] req=9.0 act=8.40"
3,AM-IV,"[57.23140770276061, 46.92933793791176, 52.9126950617807]",16.861225728454905,0.0,0.7810230424875986,False,"(30, 120)","Interval: [46.92933793791176, 52.9126950617807] req=9.0 act=5.98; Interval: [52.9126950617807, 57.23140770276061] req=9.0 act=4.32"
4,AM-V,"[70.15767830600736, 59.955287086975915, 71.29186371613424]",26.219381966243702,0.0,0.7020524776563215,False,"(30, 150)","Interval: [70.15767830600736, 71.29186371613424] req=9.0 act=1.13"
5,AM-VI,"[65.7230512157292, 55.75953087676367, 57.95009210912969]",6.927402464515797,0.0,0.9300262377321636,False,"(30, 180)","Interval: [55.75953087676367, 57.95009210912969] req=9.0 act=2.19; Interval: [57.95009210912969, 65.7230512157292] req=9.0 act=7.77"
