Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[66.5818758800788, 41.28258580262939, 31.57728981424196]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[65.45803719373822, 49.728953719836205, 35.626792453828244]",0.0,0.0,1.0,False,"(30, 120)",None
2,AM-III,"[72.93477229918506, 67.08745979721215, 49.95329718315077]",10.508958326756973,0.0,0.8805800190141253,False,"(30, 150)","Interval: [67.08745979721215, 72.93477229918506] req=9.0 act=5.85"
3,AM-IV,"[66.52191682082264, 55.192808926133786, 46.284232182454666]",0.038093023467033284,0.0,0.999505285409519,False,"(30, 120)","Interval: [46.284232182454666, 55.192808926133786] req=9.0 act=8.91"
4,AM-V,"[69.14846588651062, 71.36377913004773, 63.40669711453609]",33.47639328162785,0.0,0.6195864399815016,False,"(30, 150)","Interval: [63.40669711453609, 69.14846588651062] req=9.0 act=5.74; Interval: [69.14846588651062, 71.36377913004773] req=9.0 act=2.22"
5,AM-VI,"[81.59700191040724, 65.12790666750809, 55.06657610864437]",0.0,0.0,1.0,False,"(30, 180)",None
