Dataset,RMSE_mean,RMSE_std,R2_mean,R2_std,MAE_mean,MAE_std,Overall_R2,Overall_MAE,N_samples
AM-III-filtered,4.070306513664564,0.9447668737290023,0.8940354231555379,0.0430580174499856,2.7878086643148428,0.39976672782528866,0.8923114656813654,2.788546990785069,529
AM-IV-filtered,4.163049390826339,0.39905203935853084,0.8249711895777437,0.06455480609846449,2.921039500895269,0.16968633313126744,0.8345705575793134,2.921039500895269,330
AM-V-filtered,3.6436542567633454,0.5197778489013395,0.7297400112828007,0.09666061478629968,2.799711708245367,0.37303338432972993,0.7385692713362761,2.7971275152451835,274
AM-VI-filtered,6.6946029823313635,0.8540980085764063,0.8603209339376988,0.033651305617309196,4.580799685418203,0.3310910747047511,0.864873079181407,4.576128185693811,131
