Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[71.44583352995213, 56.997723343673066, 44.773987859382785]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[53.98295004944012, 52.078503369525265, 41.98995292990535]",23.651844400283817,0.0,0.6928331896067037,False,"(30, 120)","Interval: [52.078503369525265, 53.98295004944012] req=9.0 act=1.90"
2,AM-III,"[85.39186594396273, 75.59011817458233, 57.47305252335343]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[63.20179528412003, 60.89573468148823, 47.347816734301766]",22.313131324560658,0.0,0.7102190737070044,False,"(30, 120)","Interval: [60.89573468148823, 63.20179528412003] req=9.0 act=2.31"
4,AM-V,"[68.83836736811588, 65.75417888794358, 67.39583546161403]",28.257536739297795,0.0,0.678891627962525,False,"(30, 150)","Interval: [65.75417888794358, 67.39583546161403] req=9.0 act=1.64; Interval: [67.39583546161403, 68.83836736811588] req=9.0 act=1.44"
5,AM-VI,"[69.26693997546481, 62.43044930787059, 54.5606177304345]",7.682601284087565,0.0,0.9223979668273983,False,"(30, 180)","Interval: [54.5606177304345, 62.43044930787059] req=9.0 act=7.87; Interval: [62.43044930787059, 69.26693997546481] req=9.0 act=6.84"
