y_true,y_pred,smiles
76.50111,77.67275,O=C(OCC1=NC=CC(Cl)=C1)COC2=CC=CC=C2
79.2,77.54153,O=C(C1=CC(/C=C/C2=CC=CC=C2)=CN=C1)OC
79.2,81.89268,COC1=CC=C(OC)C(C2=CC=C3SC=NC3=C2)=C1
52.8,66.02169,O=C(C1=CC=NC2=CC=C(Br)C=C12)O
76.2,71.749435,C1(CCCCO1)OCC#CC2=NC3=CC=CC=C3C=C2
49.2,54.339844,CC(O)(C#CC1=NC=C(C=C1)C)C
89.4,87.26513,O=CC1=C(OC)C=C(/C=C(C2=CC=CC=C2)\C)C=C1
87.6,87.244995,CCOC(C=C1)=CC=C1C#CC2=NC3=CC=CC=C3C=C2
86.4,86.21916,NC1=CC=C(C=C1)C#CC2=C(C)C=CC=C2C
58.2,58.03877,CN(C)C(C)C1=CC(OC(C=C2OC)=CC=C2OC)=CC=C1
89.4,90.41244,CC1=CC=CC=C1OC2=NC3=CC=CC=C3C=C2
55.8,65.61183,CC(C)(C#CC1=CC(C(OC)=O)=NC=C1)O
76.8,79.05312,NC1=CC=C(C=C1)C#CC2=CC=CC=C2
70.8,81.60214,CC1=CN=C(OC2=CC=C3C=CC=CC3=C2)N=C1
73.2,75.11776,CC1=CN=C(C#CC2=CSC=C2)C=C1
69.0,68.03995,O=C(C1=CC2=C(C(Br)=C1)C=CN2)O
77.4,70.776665,CC1=CC(C(OCCN(C2=CC=CC=C2)CCO)=O)=CC(Cl)=N1
43.2,52.718826,CC#CC(C=C1)=NN=C1C
67.8,67.28876,COC1=CC=CN=C1C#CC2=CC=CC=C2
56.4,58.153755,CC1=CN=C(C#CC2=NC=CC=C2)C=C1
61.8,59.876347,CN(C)C(C)C1=CC(OC2=NC3=CC=CC=C3C=C2)=CC=C1
69.6,68.5871,CC1=CC=C(F)C(OC2=CC(C(O)=O)=C(N=C2)C)=C1
65.4,63.118782,FC1=CC(C=O)=CC=C1/C=C/C2=NC=CC=C2
81.6,84.40683,C1(c2cc3ncsc3cc2)=CC=CC=C1
75.0,79.257576,O=C(C1=NC=CC(/C=C/C2=CC=CC=C2)=C1)OC
54.0,52.305233,O=C(CCC1=CC=C(C=C1)OC2=CC(C)=NC=C2)OC
85.2,93.69603,O=C(C1=CN=C(OC2=CC=C(C=C2)C3=CC=CC=C3)C=C1)OC
69.6,65.778465,CN(C)C(C)C1=CC(OC2=CC=C(C=C2)OCC3=CC=CC=C3)=CC=C1
60.49998,66.22079,O=C(OCC1OCCC1)C2=NN(C=C2Br)C
74.4,79.12828,CC(C)(C)NC(/C=C/C1=CC2=C(OC=C2)C=C1)=O
78.6,80.48735,COC1=CC=CC=C1C#CC2=CC=NC3=CC=CC=C23
80.7014,79.49347,O=C(C1=CC=NC=C1)OCC(C=C2)=CC=C2OC(F)(F)F
88.8,90.08992,FC(F)(C1=C(C=CC(C#CC2=CC=CC=N2)=C1)Br)F
90.6,89.21468,BrC1=CC=C(C=C2)C(C=C2OC3=NC(C)=CC=C3)=C1
66.6,58.74906,C1(C#CC2=CC=NC=C2)=CC=CC=C1
60.6,60.41261,CC(OCC1=CN=CC(Br)=C1)=O
50.4,58.652424,N#CC1=C(C=C(C=C1C)OC2=CC=NC=C2)C
79.2,76.81999,CC1=CC=C(C=C1)OC(C=C2)=CC=C2N(C)C
82.8,81.46399,COC1=CC(OC)=CC(/C=C/C(C=C2)=CC=C2OC(C=NC=C3)=C3C)=C1
57.6,60.78844,O=C(C1=CC=C(C(C)=O)S1)OCC2=NC(CO)=CC=C2
76.8,80.62417,BrC1=CC=C(C=C2)C(C=C2OC3=NC=CC(CO)=C3)=C1
48.6,55.57852,CC(C1=CC=C(/C=C/C2=CC=NC=C2)C=C1F)=O
81.6,81.106346,O=C(Cc1c(F)cc(F)c(F)c1)OCC2=CN=C(C=C2)Br
75.6,75.12408,COC1=CC(OC)=CC(C#CC2=NC=CC=C2)=C1
97.2,95.125145,CC(C)(C)C(C=C1Cl)=CC=C1OC2=NC(C)=CC=C2
76.2,75.09198,O=C(C1=CC=C(C(C)=O)S1)OCC2=CSC(Br)=N2
93.0,95.17657,O=C(OC(C1=CC=C(C=C1)OC(F)(F)F)C)C2=CC(C)=NC3=CC=CC=C23
70.8,72.85664,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C#CC3=CC=C4NN=NC4=C3
79.8,77.24027,O=C(OC)C1=CC(C#CCOC2=CC=CC=C2)=CN=C1
73.8,76.67989,FC1=CN=C(C=C1)C(OCCOC2=CC=CC=C2)=O
75.6,76.41444,C1(C2=CC=CO2)=CC=C3SC=NC3=C1
88.15193,84.154335,CCOC1=CC=C(C2=CSC(C)=C2)C=N1
83.4,87.35512,CC1=NC(OC)=CC=C1C2=CC=CC(OC)=C2
75.0,82.33492,CC1=CC=C(/C=C/C2=NC3=CC=CC=C3C=C2)C=C1
53.4,53.694813,CC1=CC=C(C2=CC=C(F)C(C)=C2)C(C)=N1
76.25109,73.5942,COC(C1=CC=C(C2=CC=CC(C=O)=N2)C=C1)=O
72.6,74.476006,COC1=CC=C(C2=CC=C3C(NN=C3)=C2)C=C1F
81.6,80.18999,COC1=CN=C(N(CCC2)CC2C)N=C1
63.6,66.10702,C1(C2=CN=C3NC=CC3=N2)=CC=CC=C1
54.0,61.983803,CN(C1=CC=C(C2=CN=C(C=C2)N3CCOCC3)C=C1)C
66.6,67.156715,ClC1=CC=C(C2=CN=CN=C2)C=C1
61.8,58.84366,COC1=CC=C(OC)C(C2=CC=CC3=C2C=CN=C3)=C1
52.8,55.344925,CC1=CC(C2=CC=CC(C(C)=O)=C2)=NC=C1
77.4,78.52529,C1(CC2=NC3=CC=CC=C3N=C2)=CC=CC=C1
82.851555,87.77608,O=C1CCC2=C1C=C(C3=CSC4=C3C=CC=C4)C=C2
51.0,55.872593,O=CC1=CC=C(C2=CN=C3NC=CC3=N2)O1
68.4,64.710304,CC1=C(C2=CC=C(C=C2)OC3=CC=CC=C3)C=NC=C1
55.8,58.406044,COC1=NC(OC)=NC=C1C2=CN(N=C2)C
85.2,84.00749,FC1=C(N)C=CC(C2=CSC3=CC=CC=C23)=C1
58.8,60.7523,CC1=C(C2=CN=C3NC=CC3=C2)C(C)=NO1
52.8,53.224865,CC1=NC(N(C)C2=CC=C(F)C=C2)=CC=C1
73.8,71.681496,CCC1=CN=C(C(C=N2)=CC=C2OC)N=C1
66.0,66.84532,CC(C1=CC(C2=CC(OC)=CC=C2OC)=CN=C1)=O
81.6,84.30696,COC1=CC=C(OC)C(C2=CC=CC3=C2NC=C3)=C1
69.6,61.53275,C#CC1=CC=C(C2=CNN=C2C)C=C1
87.6,87.910095,O=C(OC(C)(C)C)N1C(C2=CN=CC3=C2C=CC=C3)=CC4=C1C=CC=C4
73.8,69.55016,CC1=NC(C2=CC=CC=C2)=NC=C1
57.6,65.36838,CN1N=CC(C(C=C2)=CC=C2C(C)=O)=C1
49.2,51.74491,COC1=CC=C(N(C)C2=CC=CC(C)=N2)C=C1
76.8,75.45464,CC1=CC=C(C2=CC=C(O2)C=O)C=C1
54.6,55.458214,CC(C)(C#CC1=CN=C(N2CCOCC2)C=C1)O
81.6,76.73412,COC1=NC(OC)=NC(N2CC3=CC=CC=C3CC2)=N1
82.8,84.22983,N#CC1=CC=CN=C1N(CCC2)CC2C
54.49995,60.938557,CC1=C(C)C(C(C=C2)=NN=C2N)=CC=C1
82.2,82.99898,C1(C2=CC3=CC=CC=C3S2)=CC=C4C(NN=C4)=C1
84.0,81.2533,OCC1=NC(C2=CC3=C(C=C2)C(C=CC=C4)=C4C3(C)C)=CC=C1
58.8,59.70478,COC1=NC=C(C2=CC=C3NN=CC3=C2)C=N1
63.0,61.061424,COC1=CN=C(C2=CC=C(N=C2)F)C=C1
67.8,68.513214,FC1=CC=C(C2=CC=CC3=C2C=NN3)C(F)=N1
70.150665,71.86236,COc1ccc(C2=CC=CC=C2)nc1
76.2,79.16367,COC1=CN=C(C2=CC=C(S2)C)C=C1
82.8,83.24558,COC(C1=CC=C(N)C(C2=C3C=CC=CC3=CC=C2)=C1)=O
75.6,75.9816,CC1=C(C2=NC=NC3=CC=CC=C23)C=CC=C1
72.6,70.159676,O=C(C1=CC=C(C2=CC=NN2C)C=C1)OCC
69.0,73.96139,CC1=CC(OC)=NC=C1C2=C(ON=C2C)C
85.8,84.81702,OCC1CCN(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)CC1
57.0,51.15615,OCC1=CSC(C2=CN(N=C2)C(C)C)=N1
48.6,57.867294,O=CC1=CC=C(C2=CN=CN=C2)S1
56.4,59.995667,CC(C1=CC=C(C(C2=CC(C)=CN=C2)=C1)C)=O
59.4,64.17735,CN1C(C2=CC=CC(C(C)C)=C2)=CN=C1
69.6,66.143745,COC1=CC=C(OC)C(C2=CN=C(NC=C3)C3=C2)=C1
53.4,65.16623,CCCN(C)C1=NC=C(C)C=N1
54.0,54.609642,ClC1=CC=C(C2=NC=CC(OC)=C2)C=C1
58.2,62.784058,O=C1NC2=C(C1=O)C=C(C3=CN=C(N=C3OC)OC)C=C2
54.0,59.418396,C1(C2=NNC=C2)=CC3=C(C=C1)NC=C3
70.2,65.94684,C1(C2=CC3=C(C=C2)OCO3)=CC=CC4=C1C=NN4
84.6,84.14589,FC1=CC=C(C(N=C2)=NC=C2C(OCC)=O)C=C1
91.2,90.65089,CC1=CC(F)=CC=C1C2=CC=CC(N(C)C)=C2
51.649956,55.948387,OCC1=CC=C(C2=NC=CC=N2)C=C1
57.6,59.051987,NC1=CC(C)=CC(C(C=N2)=CC=C2OCC)=N1
78.0,71.76365,CN1C=CC2=C(C3=CC=CC=C3N)C=CC=C12
64.2,66.56043,CN1N=CC=C1C2=CC=CS2
63.6,66.89181,COC1=NC(OC)=NC=C1C2=CC=CN=C2F
99.6,99.05799,CC1(C2=C(C=CC(C(C=N3)=CC=C3OC)=C2)C4=C1C=CC=C4)C
79.8,83.7828,CC1=CC(OC)=NC=C1C2=CC=CS2
61.2,63.978367,COC1=CC(C2=CN=C(C=C2)N3CCOCC3)=CC=C1
64.2,68.30489,CC1=CC(C2=CC=C3C=C(C=CC3=C2)OC)=NC=C1
77.4,73.28176,CC1=CC=C(C2=CN=C(NC=C3)C3=C2)S1
80.4,84.2077,CC1=CC=C(c2cc(c(C)[nH]n3)c3cc2)C=C1
87.6,88.48602,CC1=CC=C(C(C=C2)=NC=C2C(OCC)=O)C=C1
57.0,60.383095,CC1=C(C=CC=C1C2=CC(C)=CN=C2)OC
72.6,75.08283,CC1=CC=C(C2=C3C(C=CS3)=NC=N2)C=C1
83.80162,75.09782,ClC1=CC=C(C(N=C2C)=CN=C2C)C=C1
79.8,85.05773,N#CC1=CC=C(N2CCN(C3=CC=CC=C3)CC2)N=C1
96.2525,86.72201,COC1=CC(OC)=NC(C2=CC3=CC=CC=C3C=C2)=N1
72.6,64.37466,BrC1=NC=C(C2=CC=NN2C)S1
98.4,95.556915,CC1=CC=C(N(C2=CN=C(F)C=C2)C3=CC=C(C)C=C3)C=C1
85.8,72.34145,CC1=CC(C2=CC3=CC=CC=C3S2)=NC=C1
59.4,63.882584,CC(C1=CC(C2=CC=C(S2)C=O)=CN=C1)=O
72.6,74.45936,COC1=CC=C(C2=CC=C3C(NN=C3)=C2)C=C1
81.6,80.583534,FC1=CN=CC(C2=CC=C3C(C=CS3)=C2)=C1
58.2,56.18476,O=CC1=CC=C(C2=CN=CC3=C2C=CC=C3)O1
98.4,93.580574,CN(C)C1=CC=C(C(C=C2)=CC=C2C(OC(C)(C)C)=O)C=C1
60.6,58.411583,CC1=NC=C(/C=C/C2=CC=C(O)C(OC)=C2)C=N1
88.8,83.91167,CN(C1=NC=CC=C12)C=C2CN3C(C=CC=C4)=C4CCC5=C3C=CC=C5
93.6,90.21856,CN(C1=CC=C(/C=C/C2=CC=CC=C2)C=C1)C
81.0,79.681946,N#CCC1=NC(C2=CC(Cl)=CC=C2OC)=CS1
66.0,66.69469,CN1C=C(C2=CC=CC=C2)C=N1
88.60197,86.86502,CC1=C(C2=CC(N(C)C)=CC=C2)C=CC=C1
87.6,88.619064,O=C(OC(C)(C)C)N1C(C2=CC3=C(C=C2)NC=C3)=CC=C1
87.6,86.30932,COC1=NC(OC)=NC=C1C2=CC3=CC=CC=C3S2
75.6,78.77952,BrC1=CC2=CC=C(C3=CN=C(N=C3)N)C=C2C=C1
80.4,82.81135,CC(C)(OC(N1C2=C(C=C(C3=CN(N=C3)C4CCOCC4)C=C2)C=C1)=O)C
56.4,52.863,CC1=CC(F)=CC=C1C2=CC=NC=C2
81.6,82.29655,CC(C1=CC(C2=CC=CC3=C2OC4=C3C=CC=C4)=CN=C1)=O
90.0,90.52011,CC1CN(C(C=C2C)=CC=C2C#N)CCC1
79.8,78.16769,CC1=C(C2=CC=NN2C)C=CC=C1Br
63.0,63.839367,CC(C)(C)OC(N1CC=C(C2=CN=C(N=C2)N)CC1)=O
