Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[44.39606123495921, 30.309405108750553, 55.96533311467256]",0.0,0,1.0,False,"(30, 120)",None
1,AM-II,"[44.73384966581424, 35.82717503716418, 52.24639418983136]",5.269269491109394,0,0.931567928686891,False,"(30, 120)","Interval: [35.82717503716418, 44.73384966581424] req=9 act=8.91; Interval: [44.73384966581424, 52.24639418983136] req=9 act=7.51"
2,AM-III,"[78.2851813217053, 65.16476776790728, 74.48058153214274]",17.318000701458136,0,0.8032045374834302,False,"(30, 150)","Interval: [74.48058153214274, 78.2851813217053] req=9 act=3.80"
3,AM-IV,"[44.961385386909136, 43.76655093466304, 54.12412777902542]",26.017218492513006,0,0.6621140455517791,False,"(30, 120)","Interval: [43.76655093466304, 44.961385386909136] req=9 act=1.19"
4,AM-V,"[68.76839271394273, 59.53753510958175, 65.87542423293164]",21.4659845952339,0,0.7560683568723421,False,"(30, 150)","Interval: [59.53753510958175, 65.87542423293164] req=9 act=6.34; Interval: [65.87542423293164, 68.76839271394273] req=9 act=2.89"
5,AM-VI,"[70.16591967365463, 60.163365725147585, 78.7480347482217]",1.3929497514430977,0,0.9859298004904737,False,"(30, 180)","Interval: [70.16591967365463, 78.7480347482217] req=9 act=8.58"
