Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[86.98228037989331, 54.87671085182102, 63.76200683736693]",0.04779333935586827,0.0,0.9993793072810926,False,"(30, 120)","Interval: [54.87671085182102, 63.76200683736693] req=9.0 act=8.89"
1,AM-II,"[61.66898716109161, 44.09427392712536, 53.694171253074195]",3.417280306608627,0.0,0.95561973627781,False,"(30, 120)","Interval: [53.694171253074195, 61.66898716109161] req=9.0 act=7.97"
2,AM-III,"[86.28846039379155, 67.1863157223726, 70.85406740236354]",2.2217701333371074,0.0,0.9747526121211693,False,"(30, 150)","Interval: [67.1863157223726, 70.85406740236354] req=9.0 act=3.67"
3,AM-IV,"[57.33195236630153, 46.21858239285677, 54.44445263715527]",20.697554967721434,0.0,0.7312005848347866,False,"(30, 120)","Interval: [46.21858239285677, 54.44445263715527] req=9.0 act=8.23; Interval: [54.44445263715527, 57.33195236630153] req=9.0 act=2.89"
4,AM-V,"[70.12289603628818, 65.15897400141981, 74.73345580826347]",28.08506064385445,0.0,0.680851583592563,False,"(30, 150)","Interval: [65.15897400141981, 70.12289603628818] req=9.0 act=4.96; Interval: [70.12289603628818, 74.73345580826347] req=9.0 act=4.61"
5,AM-VI,"[75.79781444897138, 54.119536312169444, 62.82047867948526]",0.12460734695174243,0.0,0.9987413399297804,False,"(30, 180)","Interval: [54.119536312169444, 62.82047867948526] req=9.0 act=8.70"
