Rank,Feature,MeanAbsSHAP
1,logP,5.15216704951216
2,H_bond_donors,2.0473899851980972
3,fp_842,1.5807634121103642
4,MolWt,1.2373548660772693
5,col350,0.7874651096337958
6,fp_707,0.7818115731007147
7,fp_579,0.7726711011947497
8,TPSA,0.6839767014261291
9,col808,0.6372283085899617
10,fp_145,0.6135203586882745
