C,gamma,epsilon
254.2689246030512,0.01724632248216093,0.002949809805323656
167.41608664328157,0.020216157838109337,0.0018713071168288528
352.6112252081331,0.015623255455770231,0.09729603172612857
227.90731186754252,0.0184671871093906,0.0028776905405303965
510.57789427105297,0.01797489021550371,0.0041203237390648115
