Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[56.14519511527058, 45.61759097829942, 34.237025121070495]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[46.21700689825307, 49.74765957298881, 33.34069870484664]",18.231157750880865,0.0,0.7632317175210277,False,"(30, 120)","Interval: [46.21700689825307, 49.74765957298881] req=9.0 act=3.53"
2,AM-III,"[63.50742644006101, 70.11268968149102, 43.80587860406959]",7.982455861899969,0.0,0.9092902742965913,False,"(30, 150)","Interval: [63.50742644006101, 70.11268968149102] req=9.0 act=6.61"
3,AM-IV,"[54.36560819853593, 52.88260799328935, 48.66499609353426]",27.04932769094677,0.0,0.6487100299877042,False,"(30, 120)","Interval: [48.66499609353426, 52.88260799328935] req=9.0 act=4.22; Interval: [52.88260799328935, 54.36560819853593] req=9.0 act=1.48"
4,AM-V,"[67.37768727638127, 68.28592582467338, 69.64005513060336]",30.158317628222118,0.0,0.6572918451338395,False,"(30, 150)","Interval: [67.37768727638127, 68.28592582467338] req=9.0 act=0.91; Interval: [68.28592582467338, 69.64005513060336] req=9.0 act=1.35"
5,AM-VI,"[82.66378105668392, 60.563821512216734, 68.10072263855118]",0.6096245306939826,0.0,0.9938421764576365,False,"(30, 180)","Interval: [60.563821512216734, 68.10072263855118] req=9.0 act=7.54"
