Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[97.72072920914121, 85.14542376005916, 55.483462925595425]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[73.13883282768768, 67.12774605182722, 49.803822706321476]",9.963044080465124,0.0,0.8706098171368166,False,"(30, 120)","Interval: [67.12774605182722, 73.13883282768768] req=9.0 act=6.01"
2,AM-III,"[105.89174109909797, 92.05849519169291, 63.9552159202577]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[65.82980303095786, 60.07408157920154, 53.272920170848]",11.730444573998284,0.0,0.8476565639740483,False,"(30, 120)","Interval: [53.272920170848, 60.07408157920154] req=9.0 act=6.80; Interval: [60.07408157920154, 65.82980303095786] req=9.0 act=5.76"
4,AM-V,"[67.92485058854794, 73.54503636789258, 78.04506189120714]",13.141036767470139,0.0,0.8506700367332939,False,"(30, 150)","Interval: [67.92485058854794, 73.54503636789258] req=9.0 act=5.62; Interval: [73.54503636789258, 78.04506189120714] req=9.0 act=4.50"
5,AM-VI,"[88.19169140601923, 72.76087248198344, 64.031898169759]",0.1129273699064844,0.0,0.9988593194958941,False,"(30, 180)","Interval: [64.031898169759, 72.76087248198344] req=9.0 act=8.73"
