Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[80.41765843818592, 52.58655809011886, 64.2503487499803]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[71.0038366737381, 45.37562033394407, 53.55881758429147]",0.3403344790219176,0.0,0.995580071701014,False,"(30, 120)","Interval: [45.37562033394407, 53.55881758429147] req=9.0 act=8.18"
2,AM-III,"[74.9327563304551, 62.687420439636696, 70.65065971752884]",16.158328257790718,0.0,0.8163826334341964,False,"(30, 150)","Interval: [62.687420439636696, 70.65065971752884] req=9.0 act=7.96; Interval: [70.65065971752884, 74.9327563304551] req=9.0 act=4.28"
3,AM-IV,"[50.87129931547474, 46.42713333289402, 54.38262299790869]",33.48170111661778,0.0,0.5651727127711976,False,"(30, 120)","Interval: [46.42713333289402, 50.87129931547474] req=9.0 act=4.44; Interval: [50.87129931547474, 54.38262299790869] req=9.0 act=3.51"
4,AM-V,"[64.39341705602835, 64.66690490607206, 60.846309950424214]",47.26468348117384,0.0,0.46290132407757,False,"(30, 150)","Interval: [60.846309950424214, 64.39341705602835] req=9.0 act=3.55; Interval: [64.39341705602835, 64.66690490607206] req=9.0 act=0.27"
5,AM-VI,"[72.36030753667521, 65.34208846614061, 66.5965222579251]",14.014701657589441,0.0,0.858437356994046,False,"(30, 180)","Interval: [65.34208846614061, 66.5965222579251] req=9.0 act=1.25; Interval: [66.5965222579251, 72.36030753667521] req=9.0 act=5.76"
