y_true,y_pred,smiles
62.950153,65.14161,O=C(NC(C1=C2C=CC=CC2=CC=C1)C)C3=CC4=CC=CC=C4O3
55.2,59.054676,CCOC1=NC=CC(NC2=CC=CC(OC(C)C)=C2)=C1
51.6,51.07141,O=CC1=CC(OC)=C(/C=C/N(CCC2)C2=O)C=C1OC
69.0,68.00207,N#CC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=C1C
74.4,68.6003,O=[N+]([O-])C1=CC=C(NC2=CC=C(C)C=C2C(O)=O)N=C1C
48.0,52.663177,CC(/C=C/C(C=C1OC)=CC=C1OC(C=C2)=CC3=C2NN=C3C)=O
56.4,61.00559,FC1=CC(OC2=CN=CC(C(C)=O)=C2)=CC=C1
37.8,36.00757,FC1=CC(OC2=CC(C)=NC=C2)=CC=C1
80.4,70.62443,O=[N+]([O-])C1=CC=C(NCC23CC4CC(CC(C3)C4)C2)N=C1C
48.6,50.454857,FC1=NC=C(C(C=N2)=CC=C2OC)C=N1
66.6,62.106598,O=C(OC)C1=CC(C2=CC=C(F)C(C)=C2)=NC=C1
46.8,47.454502,O=CC1=CC=C(/C=C/C(N2CCOCC2)=O)C=C1F
78.0,70.9218,Cc1ccc(Oc2ccc(cc2Cl)C(C)(C)C)nc1
51.6,44.403786,O=CC1=CC=C(C=C1OC)OC2=CC(C(OC)=O)=NC=C2
55.2,55.60903,FC(F)(C1=CC=C(C=C1)OC(C=C2)=NN=C2C)F
46.2,51.893368,FC1=CC(OC2=CN=CC(C(C)=O)=C2)=CC(F)=C1C=O
54.0,55.439186,N#CCC1=C(C2=CC(Cl)=CN=C2)C=CC=C1
59.4,60.987236,ClC1=C(C)C=C(OC(C=C2)=NN=C2C)C=C1C
67.2,64.95029,O=C(OC)C1=CC=NC(/C=C/C(C=C2)=CC=C2C)=C1
40.2,32.66015,FC1=CC=C(C=C1F)OC2=CC(C)=NC=C2
73.2,70.47233,N#CC1=CC=C(N(CCC2)CC2C)C=C1C(F)(F)F
52.2,53.039513,CC(C1=CC=C(C=C1OC2=CN=CC(C(C)=O)=C2)F)=O
50.4,63.587193,CC1=CC=CC(C2=CC=C(F)C(C)=C2)=N1
54.0,46.190056,O=CC1=CC=C(C=C1OC2=CC(OC)=CN=C2)F
43.2,49.465904,COC1=CC=C(C2=CN=CN=C2)C=N1
70.2,66.260376,CC1=CC(C2=NC3=CC=CC=C3C=C2)=CC=C1F
57.6,59.644905,FC(C=C1C(C)=O)=CC=C1OC2=CN=C(OC)N=C2OC
69.6,69.747604,O=[N+]([O-])C1=CC=C(NC2CCCC2)N=C1C
40.8,52.93087,CN1C(C2=CC=CC(C)=C2C)=CN=C1
38.4,43.131714,O=C(C1=NC=CC(/C=C/C(N2CCOCC2)=O)=C1)OC
41.4,44.813004,O=C(C1=CC(/C=C/C(N2CCOCC2)=O)=CN=C1)OC
69.6,68.30772,CC1=CC(C)=CC(OC2=CC=C3SC=NC3=C2)=C1
38.4,41.007694,FC(C=C1C(C)=O)=CC=C1OC2=CC=CN=C2C
60.0,56.7902,BrC1=CC(CC)=CC=C1OC(C=C2)=NN=C2C
57.6,61.430992,ClC1=C(C)C(OC2=CC=CN=C2C)=CC=C1
57.6,52.449524,CC1=C(C(OC)=O)C=CC=C1OC2=CC(OC)=CN=C2
75.0,70.795456,Cc1cccc(Oc2ccc(cc2)-c2ccc(F)cc2)n1
43.2,38.8646,O=CC1=CC=C(C=C1OC2=CN=CN2C)F
54.6,52.065468,FC1=CC(OC2=CC(C(OC)=O)=NC=C2)=CC=C1
47.999958,46.27044,CC1=NC=CN1C(C=C2)=CC=C2NC(C3=C(C=C4C=CC=CC4=C3)OC)=O
45.39996,53.002663,O=C(NC1=CC=NC=C1)CC2=CC=C(Cl)C(Cl)=C2
63.300175,63.68619,O=C(N1C(C=CC=C2)=C2CC1)C3=NC=C(C(F)(F)F)C=C3
59.4,57.09832,O=C(N(C)OC)C1=CC=C(C=C1)C2=CC=CC=C2
59.4,59.956028,O=C(N(C1=CC=C(C=C1)F)C)C2=CC=C(S2)[N+]([O-])=O
60.6,62.81414,FC(F)(F)C1=CC=C(C=C1)CC(N2CC3=CC=CC=C3CC2)=O
54.0,57.410645,O=C(NC1=CC=C(C=C1)N2N=CC=C2)CC3=CC(F)=CC(F)=C3
58.8,61.242577,O=C(NC1CCCC2=C1C=CC=C2)CC3=CC=C(C=C3)C
46.8,49.121887,CN(C(C1=NC=CN=C1)=O)CC2=CC=CC=C2
60.0,58.166443,O=C(N(C1=CC=CC=C1)CC)CC2=CC=C3C(OCO3)=C2
63.6,63.821316,CCC1=CC(NC(C2(CC2)C3=CC=CC=C3)=O)=CC=C1
61.8,58.04088,CN1N=C(C2=CC=CC=C2)C=C1NC(CC3=C4C=C(C=CC4=CC=C3)OC)=O
60.0,56.828175,O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NC(C=CN=C4)=C4[N+]([O-])=O)=O)=C2
67.2,65.592926,O=C(NCC(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC=CC=C3OCC4=CC=CC=C4
51.399956,50.238533,O=C(NC(C=C1)=CN=C1OC)CC2=CC(F)=CC(F)=C2
61.8,54.833023,O=C(C1=CC=CC=C1)CNC(C2=NC=CC3=C2C=CC=C3)=O
60.0,62.423336,O=C(N(C1=CC=CC=C1)CCC#N)C2=NC(Cl)=CC(Cl)=C2
61.2,63.95024,COC1=CC=C(N(C(C(C)=CC2=CC=CC=C2)=O)C)C=C1
63.6,66.60452,FC(F)OC1=CC=CC=C1C(NCC2CCCCC2)=O
63.0,61.547043,FC(F)(F)C(C=C1)=CC=C1CNC(C=CC2=CC(OC)=CC=C2OC)=O
61.8,59.232132,COC1=CC=C(C(C=CC(NC2=CC=C3C=CC=CC3=N2)=O)=C1)OC
54.0,53.035263,O=C(NCCCC)CCCC1=CNC2=CC=CC=C21
64.8,67.2221,O=C(N1C(C=CC=C2)=C2CC1)CCC3=CC=C(C=C3)I
66.0,64.999405,O=C(NC1=CC=C(C=C1C)C(F)(F)F)CC2=CC=C(C=C2)C
55.8,57.90088,CCN1C2=C(C=C(C=C2)NC(C3=CC(C)=NC4=CC=CC=C34)=O)C5=C1C=CC=C5
62.4,62.74846,O=C(NC1=CC2=C(C=C1)OCO2)C3C4=C(C=CC=C4)OC5=C3C=CC=C5
51.0,56.653336,O=C(N1CCCC2C1CCCC2)C3=NC=CC=N3
52.8,50.87148,CN(C(C1=CC=NC2=CC=CC=C12)=O)CC3=CC=CC=C3
54.0,56.223053,O=C(NC1=CC2=C(C=C1)OCO2)CC3=CC=C(C=C3)OC
69.950645,67.30151,IC1=CC=CC=C1N(C(C=CC2=CC(OC)=CC=C2OC)=O)S(C3=CC=C(C=C3)C)(=O)=O
54.0,59.115593,CC(N=C1)=NC=C1NC(C2=C(C)C(C=CC=C3)=C3S2)=O
45.0,47.535477,O=C(N(C)OC)C1=NC=CC2=C1C=CC=C2
66.6,66.93737,CN(C(CC1=CC(C2=O)=C(OCC3=C2C=CC=C3)C=C1)=O)C4CCCCC4
53.4,53.2947,ClC1=C(NC(C2CCN(CC2)C(OCC3=CC=CC=C3)=O)=O)C=CN=C1
56.4,59.416824,O=C(N(CCOC1)C1C)C2=C(C3=CC=CC=C3O2)C
63.700207,61.920315,Clc1cccc(N2CCN(C(C3=CN=C(Cl)N=C3)=O)CC2)c1Cl
