Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[81.10111254631568, 49.9631457228909, 66.6856239815535]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[59.43145478163473, 49.22575604572084, 54.53702029831621]",15.222191617023531,0.0,0.8023091997789151,False,"(30, 120)","Interval: [49.22575604572084, 54.53702029831621] req=9.0 act=5.31; Interval: [54.53702029831621, 59.43145478163473] req=9.0 act=4.89"
2,AM-III,"[90.6094512162621, 70.12249019746181, 74.00811994963394]",2.130987603261616,0.0,0.975784231781118,False,"(30, 150)","Interval: [70.12249019746181, 74.00811994963394] req=9.0 act=3.89"
3,AM-IV,"[64.5365355867921, 56.29003228659703, 55.21148986570763]",5.812262990645861,0.0,0.9245160650565473,False,"(30, 120)","Interval: [55.21148986570763, 56.29003228659703] req=9.0 act=1.08; Interval: [56.29003228659703, 64.5365355867921] req=9.0 act=8.25"
4,AM-V,"[75.94630197666517, 69.47579602292238, 83.0040034563505]",14.90597522190626,0.0,0.8306139179328834,False,"(30, 150)","Interval: [69.47579602292238, 75.94630197666517] req=9.0 act=6.47; Interval: [75.94630197666517, 83.0040034563505] req=9.0 act=7.06"
5,AM-VI,"[82.3598790247027, 64.37424573203944, 65.18290934779178]",3.4130568267698593,0.0,0.9655246785174761,False,"(30, 180)","Interval: [64.37424573203944, 65.18290934779178] req=9.0 act=0.81"
