k,pca_silhouette,pca_separation,umap_silhouette,umap_separation
2,0.3320683328953849,1.7527249203109057,0.54935765,7.0106487
3,0.4260102496348839,2.1022549777797557,0.39674327,6.428578
4,0.3898943416492223,2.1065739432380886,0.42574695,6.075237
5,0.38023060650660384,2.082329667536029,0.45826077,5.9591455
6,0.3715017693765119,2.0165132803038466,0.42217737,5.899023
