cluster,center_smile,center_index
0,O=C(N(C)OC)C1=CC=CC=C1,603
1,CC1=CC(C)=CC(OC2=CC(C)=NC=C2)=C1,1678
2,CC(C=C1)=CN=C1NC2=NC=CC=C2,96
3,CC(C=C1)=CC=C1NC(CC2=CC=C(C=C2)C)=O,1795
4,CC1=CC=C(C=C1)C(NC2=CC=C(C=C2)OC)=O,1201
