Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[76.78201509099142, 63.694035809479495, 58.481427058324]",1.5780796870185447,0.0,0.9795054586101488,False,"(30, 120)","Interval: [58.481427058324, 63.694035809479495] req=9.0 act=5.21"
1,AM-II,"[60.26490178051863, 55.04368329547293, 47.79921833046798]",13.32741131442895,0.0,0.8269167361762474,False,"(30, 120)","Interval: [47.79921833046798, 55.04368329547293] req=9.0 act=7.24; Interval: [55.04368329547293, 60.26490178051863] req=9.0 act=5.22"
2,AM-III,"[95.43559872925098, 84.1568339431345, 78.3344534004616]",1.3240081072196237,0.0,0.9849544533270498,False,"(30, 150)","Interval: [78.3344534004616, 84.1568339431345] req=9.0 act=5.82"
3,AM-IV,"[59.282261079440396, 63.91590896651703, 48.85352179094239]",14.554507043077885,0.0,0.8109804280119755,False,"(30, 120)","Interval: [59.282261079440396, 63.91590896651703] req=9.0 act=4.63"
4,AM-V,"[69.24925125708145, 72.75197558660389, 69.93019125301696]",30.304456541220436,0.0,0.6556311756679496,False,"(30, 150)","Interval: [69.24925125708145, 69.93019125301696] req=9.0 act=0.68; Interval: [69.93019125301696, 72.75197558660389] req=9.0 act=2.82"
5,AM-VI,"[82.28875816469387, 76.71345318585581, 75.50763261319133]",14.663224831929593,0.0,0.851886617859297,False,"(30, 180)","Interval: [75.50763261319133, 76.71345318585581] req=9.0 act=1.21; Interval: [76.71345318585581, 82.28875816469387] req=9.0 act=5.58"
