Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[101.38224489704963, 47.229006406564096, 97.52973857712618]",17.158312266921836,0.0,0.7771647757542619,False,"(30, 120)","Interval: [97.52973857712618, 101.38224489704963] req=9.0 act=3.85"
1,AM-II,"[67.83955639958722, 43.60514974958184, 73.10114201928153]",12.461381267685661,0.0,0.8381638796404459,False,"(30, 120)","Interval: [67.83955639958722, 73.10114201928153] req=9.0 act=5.26"
2,AM-III,"[108.87445195106622, 62.800940771179825, 105.59078270876878]",19.05443585900855,0.0,0.7834723197839938,False,"(30, 150)","Interval: [105.59078270876878, 108.87445195106622] req=9.0 act=3.28"
3,AM-IV,"[79.11863007351951, 54.07988971254749, 77.38872240578581]",24.233641107554337,0.0,0.6852773882135801,False,"(30, 120)","Interval: [77.38872240578581, 79.11863007351951] req=9.0 act=1.73"
4,AM-V,"[71.34683297752274, 62.58314507413354, 74.56861108383737]",20.048446634320577,0.0,0.7721767427918116,False,"(30, 150)","Interval: [62.58314507413354, 71.34683297752274] req=9.0 act=8.76; Interval: [71.34683297752274, 74.56861108383737] req=9.0 act=3.22"
5,AM-VI,"[95.53137761714763, 58.27070603257483, 108.37133969075151]",0.0,0.0,1.0,False,"(30, 180)",None
