Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[82.18338349326179, 49.086049403142916, 77.8513141038859]",15.55976870208037,0.0,0.7979250817911641,False,"(30, 120)","Interval: [77.8513141038859, 82.18338349326179] req=9.0 act=4.33"
1,AM-II,"[64.89800751064328, 42.27006647024186, 57.09622375259192]",3.9940541398287857,0.0,0.9481291670152105,False,"(30, 120)","Interval: [57.09622375259192, 64.89800751064328] req=9.0 act=7.80"
2,AM-III,"[93.63290780826489, 65.92735507962385, 79.63650697014793]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[60.76189028007085, 47.85773348449255, 61.71503213317475]",26.822860489653664,0.0,0.6516511624720304,False,"(30, 120)","Interval: [60.76189028007085, 61.71503213317475] req=9.0 act=0.95"
4,AM-V,"[67.98595877105072, 57.38577395143031, 78.84832108381252]",0.0,0.0,1.0,False,"(30, 150)",None
5,AM-VI,"[73.99324871753107, 55.85865903268922, 74.02720260282082]",29.886820382367507,0.0,0.6981129254306313,False,"(30, 180)","Interval: [73.99324871753107, 74.02720260282082] req=9.0 act=0.03"
