row_dir,Reaction_type,P,S1,S2,Exp_method,Pro_RT,Sub1_RT,Sub2_RT,exp-RT-P,exp-RT-S1,exp-RT-S2,pred_best_methods,pred_best_score,exp_score,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI
row_12,Chan-Lam,CCOC1=CC=C(NCC23CC4CC(C3)CC(C4)C2)C=N1,NCC12CC3CC(CC(C2)C3)C1,CCOC1=CC=C(C=N1)B(O)O,AM-I,1.62,0.83,0.6,97.2,49.8,36.0,"AM-I, AM-II, AM-III, AM-IV, AM-VI",1.0,1.0,95.98185876059014,69.51830154943848,36.07583169050477,66.83814411115891,55.42109875562318,36.1929342018216,97.9487937697422,73.74102107201875,52.91438405574007,75.4304192253858,61.027784621905404,44.10916751056411,80.29226256350046,68.02513408009979,53.366914977921454,1.0,1.0,1.0,1.0,0.6680623415202733,1.0
row_13,Chan-Lam,FC1=NC=C(NC2=CC=C(C)C=C2C)C=C1,NC1=CC=C(C=C1C)C,OB(O)C1=CN=C(C=C1)F,AM-II,1.57,0.46,0.428,94.2,27.6,25.68,"AM-II, AM-III, AM-VI",1.0,0.9564157354646391,,,,69.58305949033434,55.03379893203992,37.652319845394906,95.7001137652409,74.01599360947995,46.47694345176478,,,,78.8038775983933,65.44349413497287,51.37071771507013,0.997913291773892,1.0,1.0,0.8411568149268847,0.6846730966941085,1.0
row_14,Chan-Lam,CCOC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=N1,CC1=CC=C2C(N=CN2)=C1,CCOC1=CC=C(C=N1)B(O)O,AM-IV,1.09,0.63,0.84,65.4,37.8,50.4,"AM-II, AM-III, AM-IV, AM-VI",1.0,1.0,,,,62.35945927314427,49.728953719836205,36.1929342018216,79.73871000873334,67.08745979721215,52.91438405574007,65.45146810942626,55.192808926133786,44.10916751056411,79.0937044171428,65.12790666750809,53.366914977921454,0.979473777663012,1.0,1.0,1.0,0.7719832636487419,1.0
row_15,Chan-Lam,CCOC1=CC=C(C=N1)NC2=CC=C(C(C)=C2)OC,NC1=CC=C(C(C)=C1)OC,CCOC1=CC=C(C=N1)B(O)O,AM-IV,1.11,0.64,0.84,66.6,38.4,50.4,"AM-I, AM-II, AM-III, AM-IV, AM-VI",1.0,1.0,75.79345997212151,49.27457655015108,36.07583169050477,62.04064863508395,49.84875431427105,36.1929342018216,98.26594972978302,71.8771126117264,52.91438405574007,66.65165326179508,56.56062427202408,44.10916751056411,77.0628280578348,65.54911744238913,53.366914977921454,1.0,1.0,1.0,1.0,0.6921605364779522,1.0
row_16,Carboxylic-Acid-Esterification,O=C(Cc1c(F)cc(F)c(F)c1)OC2CN(CCC2)CC,OC1CN(CC)CCC1,O=C(O)Cc1cc(F)c(F)cc1F,AM-I,0.87,0.17,1.01,52.2,10.2,60.6,"AM-I, AM-III, AM-VI",1.0,0.9532306371215408,52.01751206834316,35.164751932558744,62.481939610204606,,,,89.98751502964726,62.91113317710062,74.8492296456059,,,,83.55010406043078,55.707918815828414,67.24883793824867,1.0,0.7356486043993864,1.0,0.7243519120256388,0.8684611916105037,1.0
row_17,Carboxylic-Acid-Esterification,O=C(Cc1c(F)cc(F)c(F)c1)OCC2=CC=CN=C2OC,OCC1=CC=CN=C1OC,O=C(O)Cc1cc(F)c(F)cc1F,AM-I,1.37,0.51,1.01,82.2,30.6,60.6,AM-I,1.0,1.0,82.18348711255655,39.69924148081366,62.481939610204606,,,,,,,,,,,,,1.0,0.6286929091025775,0.918900448375155,0.6260028838297416,0.9681880497334973,0.8641638011242572
row_18,Carboxylic-Acid-Esterification,O=C(OCC1OCCC1)C2=CC=NN2C(C)C,OCC1OCCC1,O=C(C1=CC=NN1C(C)C)O,AM-I,1.18,0.19,0.83,70.8,11.4,49.8,AM-I,1.0,0.9804649865443203,70.9830349313434,40.79042631119178,53.168742227366224,,,,,,,,,,,,,1.0,0.9700153391798294,0.8431061580391991,0.9104711222604365,0.6403304446244835,0.982416543360932
row_19,Carboxylic-Acid-Esterification,O=C(OCC1=NC=CC(Cl)=C1)COC2=CC=CC=C2,OCC1=NC=CC(Cl)=C1,O=C(COC1=CC=CC=C1)O,AM-I,1.28,0.38,0.88,76.8,22.8,52.8,AM-I,1.0,0.9924380593074789,76.48300804352746,44.379250958999336,55.616426006761046,,,,,,,,,,,,,1.0,0.6884068657658553,0.9974773724398981,0.8025312573937158,0.6579618327048333,0.9770844277537144
row_20,Carboxylic-Acid-Esterification,O=C(C1CC2=C(C=CC=C2)C1)OCC3=CC=CN=C3OC,OCC1=CC=CN=C1OC,O=C(O)C1CC2=C(C1)C=CC=C2,AM-I,1.43,0.5,1.09,85.8,30.0,65.4,AM-I,1.0,1.0,84.22224842648993,39.69924148081366,63.76200683736693,,,,,,,,,,,,,1.0,0.6287680563726918,0.9736689629098827,0.767747618716178,0.8975790565848366,0.895640341388273
row_21,Carboxylic-Acid-Esterification,O=C(OCC1=CC(Cl)=NC(Cl)=C1)C2=C(C)C=C(C)C=C2C,OCC1=CC(Cl)=NC(Cl)=C1,O=C(C1=C(C=C(C=C1C)C)C)O,AM-I,1.61,0.92,1.13,96.6,55.2,67.8,AM-I,1.0,1.0,96.61789990379489,53.993041017450295,67.58545910370532,,,,,,,,,,,,,1.0,0.9852156960032042,0.9753266197155799,0.981552660438663,0.9387877782420891,0.9727948739508058
row_22,Carboxylic-Acid-Esterification,FC1=CC(F)=CC(CC(OCC2=CC=CN=C2OC)=O)=C1,OCC1=CC=CN=C1OC,OC(CC1=CC(F)=CC(F)=C1)=O,AM-I,1.36,0.5,1.02,81.6,30.0,61.2,AM-I,1.0,1.0,81.61820193601632,39.69924148081366,63.179183723934656,,,,,,,,,,,,,1.0,0.6356935143114484,0.9269575242993253,0.6421608611758893,0.9393000574069466,0.8684128566071625
row_23,Carboxylic-Acid-Esterification,O=C(OCC(CC1)CCN1C(OCC2=CC=CC=C2)=O)C3=CC=C(OC)C=C3OC,O=C(N1CCC(CO)CC1)OCC2=CC=CC=C2,O=C(C1=CC=C(C=C1OC)OC)O,AM-I,1.42,1.1,0.89,85.2,66.0,53.4,AM-I,1.0,1.0,85.1819014680932,64.51068822596147,54.39660259183721,,,,,,,,,,,,,1.0,0.9397865108535511,0.9843284648591907,0.903172651730244,0.6769084939006831,0.9638463723850929
row_24,B-H,COC(=O)c1ccccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,O=C(OC)C1=CC=CC=C1Br,AM-VI,1.56,0.45,1.496,93.6,27.0,89.76,AM-VI,1.0,0.7734725680014924,,,,,,,,,,,,,72.07284864361675,56.78072418217124,82.77960709337354,0.7922207175474716,0.739764129894328,0.7357993589055309,0.7924595258846153,0.9167441273774394,1.0
row_25,B-H,Cc1ccc(Nc2cncc3ccccc23)cc1,NC1=CC=C(C)C=C1,BrC1=CN=CC2=C1C=CC=C2,AM-III,1.09,0.2967,1.39,65.4,17.802,83.4,AM-III,1.0,0.9871888121434205,,,,,,,101.13837013554951,74.31096516439712,88.59098759409727,,,,,,,0.6106833082608762,0.5957131121889284,1.0,0.6395134152846564,0.33417502637678387,0.8754719708062495
