Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[92.18755515977814, 76.75584653922844, 63.57624576282906]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[75.17828584948788, 60.51501928251897, 54.817211385422155]",1.3759133762096603,0.0,0.9821309951141602,False,"(30, 120)","Interval: [54.817211385422155, 60.51501928251897] req=9.0 act=5.70"
2,AM-III,"[121.25703402511323, 93.36262746977613, 81.13937440454305]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[74.20003838625988, 66.48495214979383, 59.79227172445915]",5.244429034557052,0.0,0.9318905320187396,False,"(30, 120)","Interval: [59.79227172445915, 66.48495214979383] req=9.0 act=6.69; Interval: [66.48495214979383, 74.20003838625988] req=9.0 act=7.72"
4,AM-V,"[70.41444821830939, 78.07447381441173, 72.75403742626891]",23.73452081174209,0.0,0.7302895362302035,False,"(30, 150)","Interval: [70.41444821830939, 72.75403742626891] req=9.0 act=2.34; Interval: [72.75403742626891, 78.07447381441173] req=9.0 act=5.32"
5,AM-VI,"[89.49672372849084, 78.41850394463883, 65.68732636333365]",0.0,0.0,1.0,False,"(30, 180)",None
