Reaction_type,P,S1,S2,Exp_method,Pro_RT,Sub1_RT,Sub2_RT,exp-RT-P,exp-RT-S1,exp-RT-S2
B-H,CC1=CC(C)=NC(NC2=CC=C(C=N2)OC)=N1,NC1=NC(C)=CC(C)=N1,COc1cnc(Br)cc1,AM-I,0.74,0.18,1.02,44.4,10.8,61.2
B-H,CC1=CC(C)=CC(NC(C=C2)=NC=C2C)=N1,CC1=CC(C)=CC(N)=N1,CC1=CN=C(Br)C=C1,AM-I,0.88,0.2,1.07,52.8,12,64.2
B-H,COC(C(C)=C1)=CC=C1NC2=CN=C(SC)N=C2C(OC)=O,NC1=CC=C(OC)C(C)=C1,O=C(C1=NC(SC)=NC=C1Br)OC,AM-I,1.41,0.2,1.17,84.6,12,70.2
B-H,O=CC(S1)=CN=C1NC2=CN=CC3=C2C=CC=C3,NC1=NC=C(C=O)S1,BrC1=CN=CC2=C1C=CC=C2,AM-I,0.81,0.24,1.23,48.6,14.4,73.8
acylation,COc1ccc(NC(=O)c2ccc3nccnc3c2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc2nccnc2c1,AM-I,0.9783,0.2258,0.7308,58.698,13.548,43.848
acylation,COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc(C(F)(F)F)cn1,AM-I,1.26,0.2258,0.9158,75.6,13.548,54.948
acylation,CN(C(=O)c1ccc(C(F)(F)F)cn1)c1ccc(F)cc1,CNc1ccc(F)cc1,O=C(O)c1ccc(C(F)(F)F)cn1,AM-VI,1.4675,0.32,1.1117,88.05,19.2,66.702
acylation,COc1ccc(NC(=O)c2cc3ccccc3o2)cn1,COc1ccc(N)cn1,O=C(O)c1cc2ccccc2o1,AM-I,1.19,0.2258,0.99,71.4,13.548,59.4
acylation,Cc1ccc(CNC(=O)c2cc3ccccc3o2)cc1,Cc1ccc(CN)cc1,O=C(O)c1cc2ccccc2o1,AM-I,1.3375,0.29,0.99,80.25,17.4,59.4
acylation,Cc1ccc(S(=O)(=O)NC(=O)C2c3ccccc3Oc3ccccc32)cc1,Cc1ccc(S(N)(=O)=O)cc1,O=C(O)C1c2ccccc2Oc2ccccc21,AM-III,1.5567,0.9467,1.4,93.402,56.802,84
acylation,Cc1ccc(S(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)cc1,Cc1ccc(S(N)(=O)=O)cc1,O=C(O)C(c1ccccc1)c1ccccc1,AM-III,1.59,0.9467,1.39,95.4,56.802,83.4
acylation,Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,Cc1ccc(CN)cc1,O=C(O)/C=C/c1ccccc1,AM-I,1.2984,0.29,1.0458,77.904,17.4,62.748
