Reaction_type,P,S1,S2
acylation,CN(C(=O)c1ccco1)c1ccc(F)cc1,CNc1ccc(F)cc1,O=C(O)c1ccco1
acylation,CN(C(=O)c1ccc(Br)s1)c1ccc(F)cc1,CNc1ccc(F)cc1,O=C(O)c1ccc(Br)s1
acylation,CN(C(=O)C1CC2(CC2)CN1C(=O)OC(C)(C)C)c1ccc(F)cc1,CNc1ccc(F)cc1,CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O
acylation,COc1ccc(N(C)C(=O)Cc2cc(F)cc(F)c2)cc1,CNc1ccc(OC)cc1,O=C(O)Cc1cc(F)cc(F)c1
acylation,COc1ccc(N(C)C(=O)c2c(C)cc(C)cc2C)cc1,CNc1ccc(OC)cc1,Cc1cc(C)c(C(=O)O)c(C)c1
acylation,COc1ccc(N(C)C(=O)C(c2ccccc2)c2ccccc2)cc1,CNc1ccc(OC)cc1,O=C(O)C(c1ccccc1)c1ccccc1
acylation,COc1ccc(N(C)C(=O)c2ccc3nc(C)ccc3c2)cc1,CNc1ccc(OC)cc1,Cc1ccc2cc(C(=O)O)ccc2n1
acylation,COc1ccc(N(C)C(=O)c2cnccn2)cc1,CNc1ccc(OC)cc1,O=C(O)c1cnccn1
acylation,COc1ccc(N(C)C(=O)c2oc3ccccc3c2C)cc1,CNc1ccc(OC)cc1,Cc1c(C(=O)O)oc2ccccc12
acylation,COc1ccc(N(C)C(=O)c2cc(Cl)cc(Cl)n2)cc1,CNc1ccc(OC)cc1,O=C(O)c1cc(Cl)cc(Cl)n1
acylation,CCN(C(=O)Cc1ccc(C)cc1)c1cccc(C)c1,CCNc1cccc(C)c1,Cc1ccc(CC(=O)O)cc1
acylation,CCN(C(=O)COc1ccccc1)c1cccc(C)c1,CCNc1cccc(C)c1,O=C(O)COc1ccccc1
acylation,CCN(C(=O)Cc1ccc2c(c1)OCO2)c1cccc(C)c1,CCNc1cccc(C)c1,O=C(O)Cc1ccc2c(c1)OCO2
acylation,CCN(C(=O)c1ncccn1)c1cccc(C)c1,CCNc1cccc(C)c1,O=C(O)c1ncccn1
acylation,CCN(C(=O)c1ccc([N+](=O)[O-])s1)c1cccc(C)c1,CCNc1cccc(C)c1,O=C(O)c1ccc([N+](=O)[O-])s1
acylation,CCN(C(=O)c1oc2ccccc2c1C)c1cccc(C)c1,CCNc1cccc(C)c1,Cc1c(C(=O)O)oc2ccccc12
acylation,CCN(C(=O)Cc1ccc(C)cc1)c1ccccc1,CCNc1ccccc1,Cc1ccc(CC(=O)O)cc1
acylation,CCN(C(=O)c1ccc2nc(C)ccc2c1)c1ccccc1,CCNc1ccccc1,Cc1ccc2cc(C(=O)O)ccc2n1
acylation,CC1CCCN(C(=O)c2cc(Cl)cc(Cl)n2)C1,CC1CCCNC1,O=C(O)c1cc(Cl)cc(Cl)n1
acylation,Cc1ccc(CC(=O)N2CCC(N3CCCCC3)CC2)cc1,C1CCN(C2CCNCC2)CC1,Cc1ccc(CC(=O)O)cc1
acylation,Cc1cc(C)c(C(=O)N2CCCC3CCCCC32)c(C)c1,C1CCC2NCCCC2C1,Cc1cc(C)c(C(=O)O)c(C)c1
acylation,CCCN(C)C(=O)Cc1ccc2c(c1)OCO2,CCCNC,O=C(O)Cc1ccc2c(c1)OCO2
acylation,CCCN(C)C(=O)C(c1ccccc1)c1ccccc1,CCCNC,O=C(O)C(c1ccccc1)c1ccccc1
acylation,CC1COCCN1C(=O)C(c1ccccc1)c1ccccc1,CC1COCCN1,O=C(O)C(c1ccccc1)c1ccccc1
acylation,CON(C)C(=O)c1cccc(-c2ccccc2)c1,CNOC,O=C(O)c1cccc(-c2ccccc2)c1
acylation,CON(C)C(=O)c1cc2ccccc2s1,CNOC,O=C(O)c1cc2ccccc2s1
acylation,CON(C)C(=O)C1C(C)(C)C1(C)C,CNOC,CC1(C)C(C(=O)O)C1(C)C
acylation,CON(C)C(=O)C1C[C@H]1c1ccccc1,CNOC,O=C(O)C1C[C@H]1c1ccccc1
acylation,CON(C)C(=O)c1ccc(F)cn1,CNOC,O=C(O)c1ccc(F)cn1
acylation,CON(C)C(=O)c1cc(Cl)cc(Cl)n1,CNOC,O=C(O)c1cc(Cl)cc(Cl)n1
acylation,CON(C)C(=O)c1c[nH]c2ncccc12,CNOC,O=C(O)c1c[nH]c2ncccc12
acylation,CON(C)C(=O)C(C)c1ccc(CC2CCCC2=O)cc1,CNOC,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
acylation,CON(C)C(=O)c1ccc(-c2ccccc2)cc1,CNOC,O=C(O)c1ccc(-c2ccccc2)cc1
acylation,CON(C)C(=O)c1ccnc(C(F)(F)F)c1,CNOC,O=C(O)c1ccnc(C(F)(F)F)c1
acylation,Cc1ccc(CC(=O)NS(=O)(=O)c2cc(F)cc(F)c2)cc1,NS(=O)(=O)c1cc(F)cc(F)c1,Cc1ccc(CC(=O)O)cc1
acylation,O=C(NS(=O)(=O)c1cc(F)cc(F)c1)C1c2ccccc2Oc2ccccc21,NS(=O)(=O)c1cc(F)cc(F)c1,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,COc1ccc(S(=O)(=O)NC(=O)c2cc(F)ccc2C)cc1,COc1ccc(S(N)(=O)=O)cc1,Cc1ccc(F)cc1C(=O)O
acylation,Cc1ccc(CC(=O)Nc2ccccc2C)cc1,Cc1ccccc1N,Cc1ccc(CC(=O)O)cc1
acylation,Cc1ccc(C(=O)Nc2ccccc2C)cc1F,Cc1ccccc1N,Cc1ccc(C(=O)O)cc1F
acylation,Cc1ccccc1NC(=O)C1c2ccccc2Oc2ccccc21,Cc1ccccc1N,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,Cc1ccccc1NC(=O)c1ccc2nccnc2c1,Cc1ccccc1N,O=C(O)c1ccc2nccnc2c1
acylation,Cc1ccccc1NC(=O)c1ccc(C)c2ccccc12,Cc1ccccc1N,Cc1ccc(C(=O)O)c2ccccc12
acylation,Cc1ccccc1NC(=O)c1ccc2c(c1)OC(F)(F)O2,Cc1ccccc1N,O=C(O)c1ccc2c(c1)OC(F)(F)O2
acylation,Cc1ccc(NC(=O)c2ccc(C)c3ccccc23)c(C)c1,Cc1ccc(N)c(C)c1,Cc1ccc(C(=O)O)c2ccccc12
acylation,Cc1cccc(NC(=O)C2c3ccccc3Oc3ccccc32)c1C,Cc1cccc(N)c1C,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,Cc1cccc(NC(=O)c2ccc3nccnc3c2)c1C,Cc1cccc(N)c1C,O=C(O)c1ccc2nccnc2c1
acylation,Cc1cccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)c1C,Cc1cccc(N)c1C,O=C(O)c1ccc2c(c1)OC(F)(F)O2
acylation,COC(=O)c1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1OC,COC(=O)c1ccc(N)cc1OC,O=C(O)c1ccc2c(c1)OC(F)(F)O2
acylation,C#Cc1cccc(NC(=O)Cc2ccc(C)cc2)c1,C#Cc1cccc(N)c1,Cc1ccc(CC(=O)O)cc1
acylation,C#Cc1cccc(NC(=O)c2ccc3nc(C)ccc3c2)c1,C#Cc1cccc(N)c1,Cc1ccc2cc(C(=O)O)ccc2n1
acylation,C#Cc1cccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)c1,C#Cc1cccc(N)c1,COc1cc(C(=O)O)cc(OC)c1OC
acylation,COc1cc(C(=O)Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)cc(OC)c1OC,Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1,COc1cc(C(=O)O)cc(OC)c1OC
acylation,COC(=O)c1ccc(NC(=O)c2ccc(Br)s2)cc1,COC(=O)c1ccc(N)cc1,O=C(O)c1ccc(Br)s1
acylation,COC(=O)c1ccc(NC(=O)c2ccc(C)c3ccccc23)cc1,COC(=O)c1ccc(N)cc1,Cc1ccc(C(=O)O)c2ccccc12
acylation,COC(=O)c1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1,COC(=O)c1ccc(N)cc1,O=C(O)c1ccc2c(c1)OC(F)(F)O2
acylation,COC(=O)c1ccc(NC(=O)C(C)NC(=O)OCc2ccccc2)cc1,COC(=O)c1ccc(N)cc1,CC(NC(=O)OCc1ccccc1)C(=O)O
acylation,Cn1c(NC(=O)C2c3ccccc3Oc3ccccc32)nc2ccccc21,Cn1c(N)nc2ccccc21,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,Cn1c(NC(=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)nc2ccccc21,Cn1c(N)nc2ccccc21,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1
acylation,O=C(COc1ccccc1)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,Nc1cc(C(F)(F)F)ccc1C(F)(F)F,O=C(O)COc1ccccc1
acylation,O=C(Nc1cc(C(F)(F)F)ccc1C(F)(F)F)c1ccc(C(F)(F)F)cn1,Nc1cc(C(F)(F)F)ccc1C(F)(F)F,O=C(O)c1ccc(C(F)(F)F)cn1
acylation,COc1ncc(Br)cc1C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,Nc1cc(C(F)(F)F)ccc1C(F)(F)F,COc1ncc(Br)cc1C(=O)O
acylation,COc1ccc(CC(=O)Nc2ccc(Cl)cc2)cc1,Nc1ccc(Cl)cc1,COc1ccc(CC(=O)O)cc1
acylation,O=C(Nc1ccc(Cl)cc1)c1ccc(C(F)(F)F)cn1,Nc1ccc(Cl)cc1,O=C(O)c1ccc(C(F)(F)F)cn1
acylation,COc1cc(C(=O)Nc2ccc(Cl)cc2)cc(OC)c1OC,Nc1ccc(Cl)cc1,COc1cc(C(=O)O)cc(OC)c1OC
acylation,O=C(Cc1ccc2c(c1)OCO2)Nc1ccc(Cl)cc1,Nc1ccc(Cl)cc1,O=C(O)Cc1ccc2c(c1)OCO2
acylation,Cc1ccc(CC(=O)Nc2cc([N+](=O)[O-])ccc2C)cc1,Cc1ccc([N+](=O)[O-])cc1N,Cc1ccc(CC(=O)O)cc1
acylation,COc1ccc(CC(=O)Nc2cc([N+](=O)[O-])ccc2C)cc1,Cc1ccc([N+](=O)[O-])cc1N,COc1ccc(CC(=O)O)cc1
acylation,Cc1cc(C(=O)Nc2cc([N+](=O)[O-])ccc2C)cc(Cl)n1,Cc1ccc([N+](=O)[O-])cc1N,Cc1cc(C(=O)O)cc(Cl)n1
acylation,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccco1,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1ccco1
acylation,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc2c(c1)OC(F)(F)O2,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1ccc2c(c1)OC(F)(F)O2
acylation,Cc1ccc([N+](=O)[O-])cc1NC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,Cc1ccc([N+](=O)[O-])cc1N,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
acylation,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,Cc1ccc([N+](=O)[O-])cc1N,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1
acylation,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc(C)c2ccccc12,Cc1ccc([N+](=O)[O-])cc1N,Cc1ccc(C(=O)O)c2ccccc12
acylation,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1cnc(Cl)nc1,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1cnc(Cl)nc1
acylation,O=C(Nc1ccc2nccnc2c1)c1ccnc(C(F)(F)F)c1,Nc1ccc2nccnc2c1,O=C(O)c1ccnc(C(F)(F)F)c1
acylation,COc1ccc(NC(=O)Cc2ccc(C)cc2)cc1C,COc1ccc(N)cc1C,Cc1ccc(CC(=O)O)cc1
acylation,COc1ccc(NC(=O)c2cnccn2)cc1C,COc1ccc(N)cc1C,O=C(O)c1cnccn1
acylation,COc1ccc(NC(=O)c2cc(Br)cnc2OC)cc1C,COc1ccc(N)cc1C,COc1ncc(Br)cc1C(=O)O
acylation,COc1ccc(NC(=O)c2cc3ccccc3s2)cc1C,COc1ccc(N)cc1C,O=C(O)c1cc2ccccc2s1
acylation,COc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1C,COc1ccc(N)cc1C,O=C(O)c1ccnc(C(F)(F)F)c1
acylation,COc1ccc(NC(=O)c2ccc(C)c3ccccc23)cc1C,COc1ccc(N)cc1C,Cc1ccc(C(=O)O)c2ccccc12
acylation,CCOC(=O)c1cccc(NC(=O)c2ccc(C)c3ccccc23)c1,CCOC(=O)c1cccc(N)c1,Cc1ccc(C(=O)O)c2ccccc12
acylation,COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1,COc1ccc(N)cc1,O=C(O)c1ccc(C(F)(F)F)cn1
acylation,COc1ccc(NC(=O)c2cc3ccccc3s2)cc1,COc1ccc(N)cc1,O=C(O)c1cc2ccccc2s1
acylation,COc1ccc(NC(=O)c2c(C)cccc2C)cc1,COc1ccc(N)cc1,Cc1cccc(C)c1C(=O)O
acylation,COc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,COc1ccc(N)cc1,O=C(O)c1ccc([N+](=O)[O-])s1
acylation,Cc1ccc2cccc(NC(=O)COc3ccccc3)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)COc1ccccc1
acylation,Cc1ccc2cccc(NC(=O)c3c(C)cccc3C)c2n1,Cc1ccc2cccc(N)c2n1,Cc1cccc(C)c1C(=O)O
acylation,Cc1cc(C)c(C(=O)Nc2cccc3ccc(C)nc23)c(C)c1,Cc1ccc2cccc(N)c2n1,Cc1cc(C)c(C(=O)O)c(C)c1
acylation,COc1cc(C(=O)Nc2cccc3ccc(C)nc23)cc(OC)c1OC,Cc1ccc2cccc(N)c2n1,COc1cc(C(=O)O)cc(OC)c1OC
acylation,Cc1ccc2cccc(NC(=O)c3ccc(C(F)(F)F)cn3)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)c1ccc(C(F)(F)F)cn1
acylation,COc1ccc2cc(C(C)C(=O)Nc3cccc4ccc(C)nc34)ccc2c1,Cc1ccc2cccc(N)c2n1,COc1ccc2cc(C(C)C(=O)O)ccc2c1
acylation,Cc1ccc2cccc(NC(=O)C(C)c3ccc(-c4ccccc4)c(F)c3)c2n1,Cc1ccc2cccc(N)c2n1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
acylation,Cc1ccc2cccc(NC(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
acylation,Cc1ccc2cccc(NC(=O)c3ccc(C#N)cc3)c2n1,Cc1ccc2cccc(N)c2n1,N#Cc1ccc(C(=O)O)cc1
acylation,Cc1cc(C)c(C(=O)NCc2ccc(F)cc2)c(C)c1,NCc1ccc(F)cc1,Cc1cc(C)c(C(=O)O)c(C)c1
acylation,COc1ccc2cc(C(C)C(=O)NCc3ccc(F)cc3)ccc2c1,NCc1ccc(F)cc1,COc1ccc2cc(C(C)C(=O)O)ccc2c1
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccc(F)cc1,NCc1ccc(F)cc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
acylation,Cc1cc(C)cc(C(=O)NCc2ccc(F)cc2)c1,NCc1ccc(F)cc1,Cc1cc(C)cc(C(=O)O)c1
acylation,CC(C(=O)NCc1ccc(F)cc1)c1ccc(-c2ccccc2)c(F)c1,NCc1ccc(F)cc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
acylation,Cc1ccc2cccc(NC(=O)Cc3ccc(C(F)(F)F)cc3)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)Cc1ccc(C(F)(F)F)cc1
acylation,Cc1ccc(CC(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,NC(c1ccccc1)(c1ccccc1)c1ccccc1,Cc1ccc(CC(=O)O)cc1
B-H,COC(=O)c1ccccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,O=C(OC)C1=CC=CC=C1Br
B-H,Cc1ccc(Nc2cncc3ccccc23)cc1,NC1=CC=C(C)C=C1,BrC1=CN=CC2=C1C=CC=C2
B-H,COC(=O)c1ccccc1Nc1ccc(OC)nc1,NC1=CC=C(OC)N=C1,O=C(OC)C1=CC=CC=C1Br
B-H,Cc1ccccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,CC1=CC=CC=C1Br
B-H,CC1=CC(C)=NC(NC2=CC=C(C=N2)OC)=N1,NC1=NC(C)=CC(C)=N1,COc1cnc(Br)cc1
B-H,CC1=CC(C)=CC(NC(C=C2)=NC=C2C)=N1,CC1=CC(C)=CC(N)=N1,CC1=CN=C(Br)C=C1
B-H,COC(C(C)=C1)=CC=C1NC2=CN=C(SC)N=C2C(OC)=O,NC1=CC=C(OC)C(C)=C1,O=C(C1=NC(SC)=NC=C1Br)OC
B-H,O=CC(S1)=CN=C1NC2=CN=CC3=C2C=CC=C3,NC1=NC=C(C=O)S1,BrC1=CN=CC2=C1C=CC=C2
B-H,COC1=CC=C(C=C1OC)NC2=CC=CC=C2C,COC1=CC=C(N)C=C1OC,CC1=CC=CC=C1Br
B-H,Cc1ccccc1Nc1ccc(cn1)[N+]([O-])=O,NC1=NC=C([N+]([O-])=O)C=C1,CC1=CC=CC=C1Br
B-H,COc1ccc(Nc2ccccc2C)cc1,NC1=CC=C(OC)C=C1,CC1=CC=CC=C1Br
B-H,Cc1ccc(Nc2ccc(C)c(I)c2)c(C)c1,NC1=NC(C)=CC(C)=N1,CC1=CC=CC=C1Br
B-H,CCOC(=O)c1cccc(Nc2ccccc2C)c1,O=C(OCC)C1=CC=CC(N)=C1,CC1=CC=CC=C1Br
B-H,Cc1cc(C)nc(Nc2ccccc2C)c1,CC1=CC(C)=CC(N)=N1,CC1=CC=CC=C1Br
B-H,COc1ccc(OC)c(Nc2ccccc2C)c1,NC1=CC(OC)=CC=C1OC,CC1=CC=CC=C1Br
B-H,COc1ccc(Nc2ccccc2C)cc1C,NC1=CC=C(OC)C(C)=C1,CC1=CC=CC=C1Br
B-H,Cc1ccccc1Nc1ccc2ncccc2c1,NC1=CC=C2N=CC=CC2=C1,CC1=CC=CC=C1Br
B-H,Cc1ccccc1Nc1ccc2CCC(=O)c2c1,NC1=CC=CC=C1C,O=C1CCC2=C1C=C(Br)C=C2
B-H,CC(=O)c1cccc(Nc2ccc3CCC(=O)c3c2)c1,NC1=CC(C(C)=O)=CC=C1,O=C1CCC2=C1C=C(Br)C=C2
B-H,Cc1cc(C)nc(Nc2cc(F)ccn2)n1,NC1=NC(C)=CC(C)=N1,FC1=CC(Br)=NC=C1
B-H,Cc1cc(C)nc(Nc2cc(F)ccn2)c1,CC1=CC(C)=CC(N)=N1,FC1=CC(Br)=NC=C1
B-H,COc1ccc(OC)c(Nc2cc(F)ccn2)c1,NC1=CC(OC)=CC=C1OC,FC1=CC(Br)=NC=C1
B-H,Cc1ccc(Nc2ccc3ncccc3c2)c(C)c1,NC1=CC=C2N=CC=CC2=C1,CC1=CC=C(Br)C(C)=C1
B-H,Cc1ccc(Nc2ccnc(c2)C(F)(F)F)c(C)c1,NC1=CC(C(F)(F)F)=NC=C1,CC1=CC=C(Br)C(C)=C1
B-H,Cc1ccc(Nc2cncnc2C)c(C)c1,NC1=CN=CN=C1C,CC1=CC=C(Br)C(C)=C1
B-H,CC(C)S(=O)(=O)c1ccccc1Nc1ccc(C)cc1C,O=S(C1=CC=CC=C1N)(C(C)C)=O,CC1=CC=C(Br)C(C)=C1
B-H,Cc1ccc(NCC2CC2)c(C)c1,NCC1CC1,CC1=CC=C(Br)C(C)=C1
B-H,Cc1ccccc1Nc1ccc2OCCOc2c1,NC1=CC=CC=C1C,BrC1=CC=C(OCCO2)C2=C1
B-H,COC1=CC=C(C=C1OC)NC2=CC=C3OCCOC3=C2,COC1=CC=C(N)C=C1OC,BrC1=CC=C(OCCO2)C2=C1
B-H,C1COc2cc(Nc3ccc4nccnc4c3)ccc2O1,NC1=CC=C2N=CC=NC2=C1,BrC1=CC=C(OCCO2)C2=C1
B-H,Cc1cc(C)nc(Nc2ccc3OCCOc3c2)n1,NC1=NC(C)=CC(C)=N1,BrC1=CC=C(OCCO2)C2=C1
B-H,Cc1ccc(Nc2ccc3OCCOc3c2)cc1I,NC1=CC=C(C)C(I)=C1,BrC1=CC=C(OCCO2)C2=C1
B-H,Cc1ccc(Nc2ccc3OCCOc3c2)nc1,NC1=NC=C(C)C=C1,BrC1=CC=C(OCCO2)C2=C1
B-H,COc1ccc(OC)c(Nc2ccc3OCCOc3c2)c1,NC1=CC(OC)=CC=C1OC,BrC1=CC=C(OCCO2)C2=C1
B-H,COc1ccc(Nc2ccc3OCCOc3c2)cc1C,NC1=CC=C(OC)C(C)=C1,BrC1=CC=C(OCCO2)C2=C1
B-H,Cc1cc(C)nc(Nc2cnc3ccnn3c2)n1,NC1=NC(C)=CC(C)=N1,BrC1=CN2C(N=C1)=CC=N2
B-H,COC(=O)c1ccc(Nc2ccc3-c4ccccc4C(C)(C)c3c2)cc1,O=C(OC)C1=CC=C(N)C=C1,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,COc1ccc(Nc2ccc3-c4ccccc4C(C)(C)c3c2)cc1,NC1=CC=C(OC)C=C1,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,CC1(C)c2ccccc2-c2ccc(Nc3ccccc3C=O)cc12,O=CC1=CC=CC=C1N,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,Cc1ccc(Nc2ccc3-c4ccccc4C(C)(C)c3c2)cc1I,NC1=CC=C(C)C(I)=C1,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,Cc1ccc(Nc2ccc3-c4ccccc4C(C)(C)c3c2)nc1,NC1=NC=C(C)C=C1,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,COc1ccc(C(O)=O)c(Nc2ccc3-c4ccccc4C(C)(C)c3c2)c1,O=C(O)C1=CC=C(OC)C=C1N,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,Cc1ncncc1Nc1ccc2-c3ccccc3C(C)(C)c2c1,NC1=CN=CN=C1C,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,CC(C)Nc1ccc2-c3ccccc3C(C)(C)c2c1,NC(C)C,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,COC(=O)c1ccccc1Nc1ccc(C)cc1C,NC1=CC=C(C)C=C1C,O=C(OC)C1=CC=CC=C1Br
B-H,COC1=CC=C(C=C1OC)NC2=CC=CC=C2C(OC)=O,COC1=CC=C(N)C=C1OC,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1Nc1ccc(F)cc1C(=O)OC,O=C(OC)C1=CC(F)=CC=C1N,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1Nc1ccc(cn1)[N+]([O-])=O,NC1=NC=C([N+]([O-])=O)C=C1,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1Nc1ccc(OC)cc1,NC1=CC=C(OC)C=C1,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1Nc1nc(C)cc(C)n1,NC1=NC(C)=CC(C)=N1,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1Nc1ccc(OC)c(C)c1,NC1=CC=C(OC)C(C)=C1,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1Nc1ccc2ncccc2c1,NC1=CC=C2N=CC=CC2=C1,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1NC1CC1,NC1CC1,O=C(OC)C1=CC=CC=C1Br
B-H,COC(=O)c1ccccc1Nc1cccc(c1)C(C)=O,NC1=CC(C(C)=O)=CC=C1,O=C(OC)C1=CC=CC=C1Br
B-H,OCc1ccccc1Nc1ccc2cnccc2c1,OCC1=CC=CC=C1N,BrC1=CC2=C(C=NC=C2)C=C1
B-H,Cc1ccc(cc1Nc1ccc2cnccc2c1)[N+]([O-])=O,NC1=CC([N+]([O-])=O)=CC=C1C,BrC1=CC2=C(C=NC=C2)C=C1
B-H,O=Cc1ccccc1Nc1ccc2cnccc2c1,O=CC1=CC=CC=C1N,BrC1=CC2=C(C=NC=C2)C=C1
B-H,Cc1cc(C)nc(Nc2ccc3cnccc3c2)n1,NC1=NC(C)=CC(C)=N1,BrC1=CC2=C(C=NC=C2)C=C1
B-H,Cc1cc(C)nc(Nc2ccc3cnccc3c2)c1,CC1=CC(C)=CC(N)=N1,BrC1=CC2=C(C=NC=C2)C=C1
B-H,Cc1cc(F)ccc1NCc1ccccc1F,NCC1=CC=CC=C1F,CC1=CC(F)=CC=C1Br
B-H,COc1ccc(C(O)=O)c(Nc2ccc(F)cc2C)c1,O=C(O)C1=CC=C(OC)C=C1N,CC1=CC(F)=CC=C1Br
B-H,Cc1cc(F)ccc1Nc1cccn2ccnc12,NC1=CC=CN2C1=NC=C2,CC1=CC(F)=CC=C1Br
B-H,Cc1cc(C)nc(Nc2ccc(F)cc2C)c1,CC1=CC(C)=CC(N)=N1,CC1=CC(F)=CC=C1Br
B-H,Cc1cc(F)ccc1Nc1ccnc(c1)C(F)(F)F,NC1=CC(C(F)(F)F)=NC=C1,CC1=CC(F)=CC=C1Br
B-H,COC1=CC=C(C=C1OC)NC2=CN=CC(C(C)=O)=C2,COC1=CC=C(N)C=C1OC,CC(C1=CC(Br)=CN=C1)=O
B-H,CC(=O)c1cncc(Nc2nc(C)cc(C)n2)c1,NC1=NC(C)=CC(C)=N1,CC(C1=CC(Br)=CN=C1)=O
B-H,CC(=O)c1cncc(Nc2ccc(C)c(I)c2)c1,NC1=CC=C(C)C(I)=C1,CC(C1=CC(Br)=CN=C1)=O
B-H,Cc1ccccc1Nc1ccccc1C(=O)c1ccccc1,NC1=CC=CC=C1C,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,COC(=O)c1ccc(Nc2ccccc2C(=O)c2ccccc2)cc1,O=C(OC)C1=CC=C(N)C=C1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,COC1=CC=C(C=C1OC)NC2=CC=CC=C2C(C3=CC=CC=C3)=O,COC1=CC=C(N)C=C1OC,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,COc1ccc(Nc2ccccc2C(=O)c2ccccc2)cc1,NC1=CC=C(OC)C=C1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,O=Cc1ccccc1Nc1ccccc1C(=O)c1ccccc1,O=CC1=CC=CC=C1N,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,Cc1cc(C)nc(Nc2ccccc2C(=O)c2ccccc2)n1,NC1=NC(C)=CC(C)=N1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,Cc1ccc(Nc2ccccc2C(=O)c2ccccc2)nc1,NC1=NC=C(C)C=C1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,COc1ccc(Nc2ccccc2C(=O)c2ccccc2)cc1C,NC1=CC=C(OC)C(C)=C1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
