Reaction_type,P,S1,S2
acylation,CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1,CC(=O)c1ccc(N)cc1,O=C(O)Cc1ccc2c(c1)OCO2
acylation,CC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)cc1,CC(=O)c1ccc(N)cc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
acylation,CC(=O)c1ccc(NC(=O)/C=C/c2ccccc2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)/C=C/c1ccccc1
acylation,CC(=O)c1ccc(NC(=O)c2c(C)cccc2C)cc1,CC(=O)c1ccc(N)cc1,Cc1cccc(C)c1C(=O)O
acylation,COc1ccc(NC(=O)Cc2ccc(C)cc2)cn1,COc1ccc(N)cn1,Cc1ccc(CC(=O)O)cc1
acylation,COc1ccc(NC(=O)COc2ccccc2)cn1,COc1ccc(N)cn1,O=C(O)COc1ccccc1
acylation,COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cn1,COc1ccc(N)cn1,O=C(O)Cc1cc(F)cc(F)c1
acylation,Cc1ccc(N(C(=O)C(C)c2ccc(CC3CCCC3=O)cc2)c2ccccc2)cc1,Cc1ccc(Nc2ccccc2)cc1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
acylation,CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,NCc1ccccc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
acylation,O=C(NCc1ccccc1)C1c2ccccc2Oc2ccccc21,NCc1ccccc1,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccccc1,NCc1ccccc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
acylation,O=C(NCc1ccccc1)c1ccc([N+](=O)[O-])cc1,NCc1ccccc1,O=C(O)c1ccc([N+](=O)[O-])cc1
acylation,Cc1cc(C)cc(C(=O)NCc2ccc(F)cc2F)c1,NCc1ccc(F)cc1F,Cc1cc(C)cc(C(=O)O)c1
acylation,CC(C)(C(=O)NCc1ccc(F)cc1F)c1ccccc1,NCc1ccc(F)cc1F,CC(C)(C(=O)O)c1ccccc1
acylation,Cc1ccc(CC(=O)NCc2ccco2)cc1,NCc1ccco1,Cc1ccc(CC(=O)O)cc1
acylation,O=C(NCc1ccco1)c1ccc(C(F)(F)F)cn1,NCc1ccco1,O=C(O)c1ccc(C(F)(F)F)cn1
acylation,COc1ccc(CC(=O)NCc2ccc(C)cc2)cc1,Cc1ccc(CN)cc1,COc1ccc(CC(=O)O)cc1
acylation,Cc1ccc(CNC(=O)c2c(C)cccc2C)cc1,Cc1ccc(CN)cc1,Cc1cccc(C)c1C(=O)O
acylation,Cc1ccc(CNC(=O)Cc2ccc3c(c2)OCO3)cc1,Cc1ccc(CN)cc1,O=C(O)Cc1ccc2c(c1)OCO2
acylation,COc1ccc(CNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)cc1,COc1ccc(CN)cc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
acylation,COc1ccc(CNC(=O)C2c3ccccc3Oc3ccccc32)cc1,COc1ccc(CN)cc1,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,Cc1ccc(CC(=O)NCc2ccc3c(c2)OCO3)cc1,NCc1ccc2c(c1)OCO2,Cc1ccc(CC(=O)O)cc1
acylation,CC(C(=O)NCc1ccc2c(c1)OCO2)c1ccc(CBr)cc1,NCc1ccc2c(c1)OCO2,CC(C(=O)O)c1ccc(CBr)cc1
acylation,O=C(NCc1ccc2c(c1)OCO2)c1ccc(C(F)(F)F)cn1,NCc1ccc2c(c1)OCO2,O=C(O)c1ccc(C(F)(F)F)cn1
acylation,CC(C)(C(=O)NCc1ccc2c(c1)OCO2)c1ccccc1,NCc1ccc2c(c1)OCO2,CC(C)(C(=O)O)c1ccccc1
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccc2c(c1)OCO2,NCc1ccc2c(c1)OCO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
acylation,CC(C(=O)NCc1cccc2ccccc12)c1ccc(CC2CCCC2=O)cc1,NCc1cccc2ccccc12,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
acylation,O=C(NCc1cccc2ccccc12)C(c1ccccc1)c1ccccc1,NCc1cccc2ccccc12,O=C(O)C(c1ccccc1)c1ccccc1
acylation,O=C(Cc1ccc2c(c1)OCO2)NCc1cccc2ccccc12,NCc1cccc2ccccc12,O=C(O)Cc1ccc2c(c1)OCO2
acylation,CCc1cccc(NC(=O)Cc2ccc3c(c2)OCO3)c1,CCc1cccc(N)c1,O=C(O)Cc1ccc2c(c1)OCO2
acylation,O=C(Cc1cc(F)cc(F)c1)Nc1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,O=C(O)Cc1cc(F)cc(F)c1
acylation,O=C(Cc1ccc2c(c1)OCO2)Nc1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,O=C(O)Cc1ccc2c(c1)OCO2
acylation,CC(NC(=O)c1ccc2c(c1)OCCO2)c1cccc2ccccc12,C[C@H](N)c1cccc2ccccc12,O=C(O)c1ccc2c(c1)OCCO2
acylation,Cc1ccc(NC(=O)c2cc3ccccc3s2)nc1,Cc1ccc(N)nc1,O=C(O)c1cc2ccccc2s1
acylation,Cc1ccc(NC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1,Cc1ccc(N)cc1,O=C(O)Cc1ccc([N+](=O)[O-])cc1
acylation,COc1ncc(Br)cc1C(=O)Nc1ccc(C)cc1,Cc1ccc(N)cc1,COc1ncc(Br)cc1C(=O)O
acylation,Cc1ccc(NC(=O)C2Cc3ccccc3C2)cc1,Cc1ccc(N)cc1,O=C(O)C1Cc2ccccc2C1
acylation,Cc1ccc(NC(=O)c2cc3ccccc3s2)cc1,Cc1ccc(N)cc1,O=C(O)c1cc2ccccc2s1
acylation,COc1ccc(NC(=O)c2cc(C)nc(Cl)c2)cn1,COc1ccc(N)cn1,Cc1cc(C(=O)O)cc(Cl)n1
acylation,COc1ccc(NC(=O)c2cc(F)ccc2C)cn1,COc1ccc(N)cn1,Cc1ccc(F)cc1C(=O)O
acylation,COc1ccc(NC(=O)c2ccc(Br)s2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc(Br)s1
acylation,COc1ccc(NC(=O)C2Cc3ccccc3C2)cn1,COc1ccc(N)cn1,O=C(O)C1Cc2ccccc2C1
acylation,COc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cn1,COc1ccc(N)cn1,O=C(O)c1cccc(-c2ccccc2)c1
acylation,COc1ccc(NC(=O)c2cc3ccccc3s2)cn1,COc1ccc(N)cn1,O=C(O)c1cc2ccccc2s1
acylation,COc1ncc(Br)cc1C(=O)Nc1cccc2ccc(C)nc12,Cc1ccc2cccc(N)c2n1,COc1ncc(Br)cc1C(=O)O
acylation,Cc1ccc(CNC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1,Cc1ccc(CN)cc1,O=C(O)Cc1ccc([N+](=O)[O-])cc1
acylation,Cc1ccc(CNC(=O)c2ccc(Br)s2)cc1,Cc1ccc(CN)cc1,O=C(O)c1ccc(Br)s1
acylation,Cc1ccc(CNC(=O)c2cc3ccccc3s2)cc1,Cc1ccc(CN)cc1,O=C(O)c1cc2ccccc2s1
acylation,O=C(NCc1ccc(F)cc1F)c1cnccn1,NCc1ccc(F)cc1F,O=C(O)c1cnccn1
acylation,COc1ncc(Br)cc1C(=O)NCc1ccc(F)cc1F,NCc1ccc(F)cc1F,COc1ncc(Br)cc1C(=O)O
acylation,O=C(NCc1ccc(F)cc1F)c1ccc(Br)s1,NCc1ccc(F)cc1F,O=C(O)c1ccc(Br)s1
acylation,O=C(NCc1ccc(F)cc1F)c1cc2ccccc2o1,NCc1ccc(F)cc1F,O=C(O)c1cc2ccccc2o1
acylation,Cc1cc(C(=O)NCc2cccc3ccccc23)cc(Cl)n1,NCc1cccc2ccccc12,Cc1cc(C(=O)O)cc(Cl)n1
acylation,O=C(NCc1cccc2ccccc12)c1cnccn1,NCc1cccc2ccccc12,O=C(O)c1cnccn1
acylation,Cc1ccc(F)cc1C(=O)NCc1cccc2ccccc12,NCc1cccc2ccccc12,Cc1ccc(F)cc1C(=O)O
acylation,O=C(NCc1cccc2ccccc12)c1cccc(-c2ccccc2)c1,NCc1cccc2ccccc12,O=C(O)c1cccc(-c2ccccc2)c1
acylation,O=C(NCc1cccc2ccccc12)c1cc2ccccc2s1,NCc1cccc2ccccc12,O=C(O)c1cc2ccccc2s1
acylation,CC(=O)c1ccc(NC(=O)C2Cc3ccccc3C2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)C1Cc2ccccc2C1
acylation,CC(=O)c1ccc(NC(=O)c2cc(F)ccc2C)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(F)cc1C(=O)O
acylation,CC(=O)c1ccc(NC(=O)c2cc3ccccc3o2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)c1cc2ccccc2o1
acylation,O=C(NCc1ccco1)C1Cc2ccccc2C1,NCc1ccco1,O=C(O)C1Cc2ccccc2C1
acylation,Cc1cc(C)c(C(=O)NCc2ccc(Cl)cc2)c(C)c1,NCc1ccc(Cl)cc1,Cc1cc(C)c(C(=O)O)c(C)c1
acylation,O=C(NCc1ccc(Cl)cc1)c1ccc2nccnc2c1,NCc1ccc(Cl)cc1,O=C(O)c1ccc2nccnc2c1
acylation,CSc1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1,CSc1ccc(N)cc1,O=C(O)C(c1ccccc1)c1ccccc1
acylation,O=C(COc1ccccc1)Nc1ccc(Cl)cn1,Nc1ccc(Cl)cn1,O=C(O)COc1ccccc1
acylation,O=C(Cc1ccc2c(c1)OCO2)Nc1ccc(Cl)cn1,Nc1ccc(Cl)cn1,O=C(O)Cc1ccc2c(c1)OCO2
acylation,COc1ncc(Br)cc1C(=O)Nc1ccc(Cl)cn1,Nc1ccc(Cl)cn1,COc1ncc(Br)cc1C(=O)O
acylation,Cc1ccc(Cl)c(NC(=O)C2c3ccccc3Oc3ccccc32)c1,Cc1ccc(Cl)c(N)c1,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,Cc1ccc(Cl)c(NC(=O)c2cc(C)nc(Cl)c2)c1,Cc1ccc(Cl)c(N)c1,Cc1cc(C(=O)O)cc(Cl)n1
acylation,Cc1ccc(CC(=O)NCc2ccccc2C(F)(F)F)cc1,NCc1ccccc1C(F)(F)F,Cc1ccc(CC(=O)O)cc1
acylation,O=C(NCc1ccccc1C(F)(F)F)C(c1ccccc1)c1ccccc1,NCc1ccccc1C(F)(F)F,O=C(O)C(c1ccccc1)c1ccccc1
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccccc1C(F)(F)F,NCc1ccccc1C(F)(F)F,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
acylation,O=C(Cc1cc(F)cc(F)c1)Nc1ccc([N+](=O)[O-])cn1,Nc1ccc([N+](=O)[O-])cn1,O=C(O)Cc1cc(F)cc(F)c1
acylation,O=C(Nc1ccc([N+](=O)[O-])cn1)C(c1ccccc1)c1ccccc1,Nc1ccc([N+](=O)[O-])cn1,O=C(O)C(c1ccccc1)c1ccccc1
acylation,O=C(Cc1ccc(C(F)(F)F)cc1)Nc1ccc([N+](=O)[O-])cn1,Nc1ccc([N+](=O)[O-])cn1,O=C(O)Cc1ccc(C(F)(F)F)cc1
acylation,O=C(Nc1ccc([N+](=O)[O-])cn1)C1c2ccccc2Oc2ccccc21,Nc1ccc([N+](=O)[O-])cn1,O=C(O)C1c2ccccc2Oc2ccccc21
acylation,O=C(Cc1ccc([N+](=O)[O-])cc1)Nc1ccc([N+](=O)[O-])cn1,Nc1ccc([N+](=O)[O-])cn1,O=C(O)Cc1ccc([N+](=O)[O-])cc1
acylation,Cc1ccc(NC(=O)C2CCN(C(=O)OCc3ccccc3)CC2)cc1,Cc1ccc(N)cc1,O=C(O)C1CCN(C(=O)OCc2ccccc2)CC1
acylation,Cc1ccc2cccc(NC(=O)C3C[C@H]3c3ccccc3)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)C1C[C@H]1c1ccccc1
acylation,Cc1ccc2cccc(NC(=O)c3ccc(F)cn3)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)c1ccc(F)cn1
acylation,Cc1ccc2cccc(NC(=O)c3cc(Cl)cc(Cl)n3)c2n1,Cc1ccc2cccc(N)c2n1,O=C(O)c1cc(Cl)cc(Cl)n1
acylation,COc1ccc(NC(=O)C2C[C@H]2c2ccccc2)cc1OC,COc1ccc(N)cc1OC,O=C(O)C1C[C@H]1c1ccccc1
acylation,Cc1ccc(Oc2ccc(NC(=O)C3C[C@H]3c3ccccc3)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1,O=C(O)C1C[C@H]1c1ccccc1
acylation,Cc1ccc(Oc2ccc(NC(=O)c3ccc(F)cn3)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1,O=C(O)c1ccc(F)cn1
acylation,Cc1ccc(Oc2ccc(NC(=O)C3CCC(F)(F)CC3)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1,O=C(O)C1CCC(F)(F)CC1
acylation,Cc1ccc(Oc2ccc(NC(=O)C3CCCN3C(=O)OCc3ccccc3)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1,O=C(O)C1CCCN1C(=O)OCc1ccccc1
acylation,Cc1ccc(Oc2ccc(NC(=O)C3CCN(C(=O)OCc4ccccc4)CC3)cc2)cc1,Cc1ccc(Oc2ccc(N)cc2)cc1,O=C(O)C1CCN(C(=O)OCc2ccccc2)CC1
acylation,CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)NCc1ccc(Br)cc1,NCc1ccc(Br)cc1,CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O
acylation,Cc1c(C(=O)NCc2ccc(Br)cc2)oc2ccccc12,NCc1ccc(Br)cc1,Cc1c(C(=O)O)oc2ccccc12
acylation,O=C(NCc1ccc2c(c1)OCO2)C1C[C@H]1c1ccccc1,NCc1ccc2c(c1)OCO2,O=C(O)C1C[C@H]1c1ccccc1
acylation,O=C(NCc1ccc2c(c1)OCO2)c1cc(Cl)cc(Cl)n1,NCc1ccc2c(c1)OCO2,O=C(O)c1cc(Cl)cc(Cl)n1
acylation,O=C(NCc1ccc2c(c1)OCO2)C1CCC(F)(F)CC1,NCc1ccc2c(c1)OCO2,O=C(O)C1CCC(F)(F)CC1
