Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[75.84672840467178, 47.251743787512765, 63.57134582952409]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[56.900546519362166, 44.66749939516108, 54.20321116837425]",21.008882163373624,0.0,0.7271573745016413,False,"(30, 120)","Interval: [54.20321116837425, 56.900546519362166] req=9.0 act=2.70"
2,AM-III,"[88.73585121441607, 64.35605136879553, 74.84427455718492]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[65.5464188092771, 53.33407616861103, 59.59198100343652]",11.294413632687455,0.0,0.8533193034715916,False,"(30, 120)","Interval: [53.33407616861103, 59.59198100343652] req=9.0 act=6.26; Interval: [59.59198100343652, 65.5464188092771] req=9.0 act=5.95"
4,AM-V,"[74.03223987129029, 67.2037378208645, 78.23415285097278]",23.23194989963909,0.0,0.7360005693222831,False,"(30, 150)","Interval: [67.2037378208645, 74.03223987129029] req=9.0 act=6.83; Interval: [74.03223987129029, 78.23415285097278] req=9.0 act=4.20"
5,AM-VI,"[71.9145962119211, 57.46421957230791, 67.23348189830739]",14.396285621287651,0.0,0.8545829735223469,False,"(30, 180)","Interval: [67.23348189830739, 71.9145962119211] req=9.0 act=4.68"
