Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[81.61808987214559, 49.27457655015108, 74.21507074416986]",5.323269573414251,0.0,0.930866628916698,False,"(30, 120)","Interval: [74.21507074416986, 81.61808987214559] req=9.0 act=7.40"
1,AM-II,"[63.89050747063338, 49.84875431427105, 56.83453959258018]",7.319363207193854,0.0,0.9049433349715084,False,"(30, 120)","Interval: [49.84875431427105, 56.83453959258018] req=9.0 act=6.99; Interval: [56.83453959258018, 63.89050747063338] req=9.0 act=7.06"
2,AM-III,"[92.82627739271251, 71.8771126117264, 82.78129549013352]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[67.96728549964163, 56.56062427202408, 65.81023821770407]",22.809842393541448,0.0,0.7037682806033578,False,"(30, 120)","Interval: [65.81023821770407, 67.96728549964163] req=9.0 act=2.16"
4,AM-V,"[73.86688111221474, 69.44651513911298, 74.5764797233842]",42.900118052429264,0.0,0.512498658495122,False,"(30, 150)","Interval: [69.44651513911298, 73.86688111221474] req=9.0 act=4.42; Interval: [73.86688111221474, 74.5764797233842] req=9.0 act=0.71"
5,AM-VI,"[80.89986506386381, 65.54911744238913, 83.83027551465875]",20.231965164016874,0.0,0.795636715514981,False,"(30, 180)","Interval: [80.89986506386381, 83.83027551465875] req=9.0 act=2.93"
