Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[90.01799942447292, 76.75584653922844, 75.36781838980309]",3.1716549377394365,0.0,0.9588096761332541,False,"(30, 120)","Interval: [75.36781838980309, 76.75584653922844] req=9.0 act=1.39"
1,AM-II,"[68.22214610493091, 60.51501928251897, 55.613843390842845]",6.017420637095136,0.0,0.9218516800377256,False,"(30, 120)","Interval: [55.613843390842845, 60.51501928251897] req=9.0 act=4.90; Interval: [60.51501928251897, 68.22214610493091] req=9.0 act=7.71"
2,AM-III,"[110.06812446752014, 93.36262746977613, 79.0304262990785]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[66.38268156161416, 66.48495214979383, 58.89092722613935]",34.6865835878184,0.0,0.5495248884698909,False,"(30, 120)","Interval: [58.89092722613935, 66.38268156161416] req=9.0 act=7.49; Interval: [66.38268156161416, 66.48495214979383] req=9.0 act=0.10"
4,AM-V,"[72.44338752557178, 78.07447381441173, 69.9308573018584]",32.85461162482221,0.0,0.6266521406270202,False,"(30, 150)","Interval: [69.9308573018584, 72.44338752557178] req=9.0 act=2.51; Interval: [72.44338752557178, 78.07447381441173] req=9.0 act=5.63"
5,AM-VI,"[86.08741261155956, 78.41850394463883, 74.34699075935113]",6.49050728306103,0.0,0.9344393203731209,False,"(30, 180)","Interval: [74.34699075935113, 78.41850394463883] req=9.0 act=4.07; Interval: [78.41850394463883, 86.08741261155956] req=9.0 act=7.67"
