dataset,n_train,n_test,best_r2,train_r2,test_r2,test_mae,test_rmse
AM-I-filtered_with_labels_k4,6018,670,0.8908582020998888,0.9756323534372585,0.916252098399833,3.0054953682944143,3.904508973196765
AM-II-filtered_with_labels_k4,1650,186,0.8620430326475986,0.9899008824595559,0.8484627779007116,2.4787470533489264,3.598682049110999
