Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[77.8378594498941, 54.207061947809095, 54.618066177303135]",3.578748237710817,0.0,0.9535227501595998,False,"(30, 120)","Interval: [54.207061947809095, 54.618066177303135] req=9.0 act=0.41"
1,AM-II,"[58.60651722854688, 52.283498908925864, 46.86098166911747]",10.413890084676458,0.0,0.8647546742249811,False,"(30, 120)","Interval: [46.86098166911747, 52.283498908925864] req=9.0 act=5.42; Interval: [52.283498908925864, 58.60651722854688] req=9.0 act=6.32"
2,AM-III,"[92.39079767091258, 76.68105494498994, 65.31831484960654]",0.0,0.0,1.0,False,"(30, 150)",None
3,AM-IV,"[61.906666445337784, 56.55399909628827, 50.23174748552723]",13.273503998684527,0.0,0.8276168311859152,False,"(30, 120)","Interval: [50.23174748552723, 56.55399909628827] req=9.0 act=6.32; Interval: [56.55399909628827, 61.906666445337784] req=9.0 act=5.35"
4,AM-V,"[72.02466010444803, 72.97244049204551, 71.52611189548135]",55.17890467811948,0.0,0.3729669922940968,False,"(30, 150)","Interval: [71.52611189548135, 72.02466010444803] req=9.0 act=0.50; Interval: [72.02466010444803, 72.97244049204551] req=9.0 act=0.95"
5,AM-VI,"[79.43578145520871, 62.528144029873744, 65.21896784887576]",2.628823408749158,0.0,0.9734462281944529,False,"(30, 180)","Interval: [62.528144029873744, 65.21896784887576] req=9.0 act=2.69"
