y_true,y_pred,smiles
79.2,87.207695,COCCOC1=CC2=NC=NC(NC3=CC=CC(C#CC4=C(C5=CC=CC=C5)C=CC=C4)=C3)=C2C=C1OCCOC
85.8,90.743576,C1(C#CC2=C(C3=CC=CC=C3)C=CC=C2)=CC=NC=C1
91.8,92.844345,FC(F)(C1=CC(C#CC2=CC(C)=CN=C2)=CC=C1)F
55.2,62.632507,O=C(N1CCCC1)CNC2=C(C=CC=N2)OCC3=CC=CC=C3
43.2,50.78604,CC1=NC=CC(NC2=C(SC=C2)C(C)=O)=C1
84.6,87.53224,O=C(C1=CC=C2C=C(C#CC3=CN(N=C3)C)C=CC2=C1)OC
74.4,83.72098,CCOC(C=C1)=CC=C1C#CC2=NC=CC=N2
86.4,82.40014,O=C(C1=CC=C(C#CC2=CC=CC(Br)=C2)C=C1)NC
87.6,91.19067,O=C(C1=CC=C(C=C1)C#CC2=NC=CC=C2C(F)(F)F)OC
84.6,88.40143,O=CC1=CC=C(C#CC2=CC3=CC=CC=C3N=C2)C=C1
76.2,83.27772,COC1=C(C#N)C=CC(NC2=NC(C)=CS2)=C1
76.8,86.85883,CC1=CC=C(NC2=CC=C(C3=CC=CC=C3)N=N2)C4=C1C=CC=C4
85.2,89.81763,COC1=CC=C(C#CC2=NC(F)=CC=C2)C=C1
91.8,93.0142,CC(C)C1=CC=C(C#CC2=NC=CC=C2)C=C1
87.6,89.79887,COC1=CC=CC(C#CC2=NC=CC3=CC=CC=C23)=C1
90.6,91.57806,FC1=NC=C(C=C1)C#CC(C=N2)=CN=C2N3CCSCC3
81.6,82.1867,COC1=C(C#N)C=CC(NC2=NC3=CC=CC=C3C=N2)=C1
79.30131,86.79838,CC(C1=CN=C(S1)NC2=CC=C(C=C2)C(C)=O)C
91.8,86.19947,C[Si](C)(C#CC1=CC=C2C=CC=NC2=C1)C
71.25074,89.25174,CC1=CC=CC(C)=C1NC2=NC(OC)=NC(OC)=N2
86.3518,82.56254,O=C(OCC)C1=CC=C(NCCOC2=CC=CC=C2)C=C1
74.4,71.40583,O=C1NC(C=C(NC(C(C(C2CC2)C3CC3)NC(OC(C)(C)C)=O)=O)C=C4)=C4C1
76.2,75.42202,CN1C(CC2=C1C=CC(NC(C(C(C3CC3)C4CC4)NC(OC(C)(C)C)=O)=O)=C2)=O
79.2,91.331116,COC1=C(C(Cl)=CC=C1)C2=CSC(C3CCOCC3)=N2
79.8,91.601494,FC1=CC(F)=CC(C2=CSC(CC#N)=N2)=C1
93.6,96.2809,BrC(C=C1)=CC=C1C2=CSC(C3=CC=CC(N)=C3)=N2
100.8,98.40462,FC(OC1=CC=CC=C1C2=CSC(C3=CC=CC=C3)=N2)F
94.2,95.54395,IC1=CC=C(C=C1)C2=CSC(C3=COC(C)=N3)=N2
61.2,66.556114,OC1=CC=C(C=C1)C2=CSC(C3=NC=CC=N3)=N2
85.2,92.84231,OC1=CC(C2=CSC(C3CCCC3)=N2)=CC=C1
86.4,85.718925,COC(c1scc(NC(C(C(C2CC2)C3CC3)NC(OC(C)(C)C)=O)=O)c1)=O
93.6,97.64207,COC1=C(C(Cl)=CC=C1)C2=CSC(C3=CC=CC=C3)=N2
87.0,91.71645,CC1=NOC(C2=CSC(C3=CC=C(C=C3)F)=N2)=C1
94.8,95.27165,OC1=CC=C(C=C1)C2=CSC(C3=CC=C(C=C3)OCC4=CC=CC=C4)=N2
97.8,95.556885,CC(C)C1=NC(C(C=C2F)=CC=C2F)=CS1
76.8,89.77546,CN1N=CC(C2=CSC(CCC3=CC=CC=C3)=N2)=C1
86.4,92.57021,CCOC(C1=NC(C2=CC=CC=C2OC(F)F)=CS1)=O
104.4,97.98425,COC1=CC=CC=C1C2=CSC(C3=CC=C(C=C3)F)=N2
75.6,78.91086,FC1=CC=C(C=C1)C2=CSC(C3=CC=NN3)=N2
105.0,98.759796,FC1=CC(C2=CSC(C(C)(C)C)=N2)=CC=C1
75.0,80.394966,CN1C=NC(C2=C(OC)C(NC(C(C(C3CC3)C4CC4)NC(OC(C)(C)C)=O)=O)=CC=C2)=N1
103.8,97.98986,CC(C)C1=NC(C2=CC=C(F)C(C(F)(F)F)=C2)=CS1
82.8,88.15708,FC1=CC=C(C=C1F)C2=CSC(C3=CC(CC)=NC=C3)=N2
76.2,89.51206,COC1=C(C(Cl)=CC=C1)C2=CSC(N3CCOCC3)=N2
103.8,96.2374,FC(F)(F)C1=CC(C2=CSC(C3=CC(CCC)=NC=C3)=N2)=CC=C1Cl
90.6,94.11328,CCOC(C1=NC(C(C(C)=C2)=CC=C2C)=CS1)=O
79.2,87.760605,CC(C)C1=NC(C2=NC=CS2)=CS1
98.4,96.76345,FC(F)(F)C1=CC(C2=CSC(C3CCOCC3)=N2)=CC=C1Cl
103.2,96.7136,FC1=CC=C(C=C1)C2=CSC(N3N=C(CC3C4=CC(OC)=C(C(OC)=C4)OC)C5=CC=CC=C5)=N2
90.6,93.14732,CC(C)C1=NC(C(C=C2)=CC=C2N(C)C)=CS1
104.4,95.75194,FC1=C(C=CC=C1C2=CSC(C3=CC(CCC)=NC=C3)=N2)Br
59.4,65.92472,FC(C=C(C=C1)[C@@H](C(NC(CC)=O)C(N2CCN(CC2)C)=O)C)=C1NC(NC(C(NCc3cccc4c3nccn4)=O)C(C5CC5)C6CC6)=O
58.8,61.17778,CN1CCCCC(C1=O)NC(C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O)=O
54.6,59.335686,O=C(NCc1nnccc1)C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O
64.2,69.82896,FC(C1(CNC(C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O)=O)CC1)(F)F
64.2,62.596527,O=C(NC1CC2(C1)CC2)C(C(C3CC3)C4CC4)NC(NC5=C(F)C=C([C@H](C)C(C(N6CCN(C)CC6)=O)NC(CC)=O)C=C5)=O
55.2,57.219147,CS(=O)([C@H]1C[C@@H](C1)NC(C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O)=O)=O
61.8,63.636772,CC(C)(C#N)N1C=C(NC(C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O)=O)C=N1
59.4,59.99742,O=C(N1CCOCC1)c2ccc(NC(C(C(C3CC3)C4CC4)NC(NC5=C(F)C=C([C@H](C)C(C(N6CCN(C)CC6)=O)NC(CC)=O)C=C5)=O)=O)cc2
54.6,60.0297,CN1CC(CNC(C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O)=O)CCC1=O
60.0,60.50863,O=S(C1=CC(NC(C(C(C2CC2)C3CC3)NC(NC4=C(F)C=C([C@H](C)C(C(N5CCN(C)CC5)=O)NC(CC)=O)C=C4)=O)=O)=CC=C1C)(N)=O
56.4,64.10709,N#CC12CC(C1)(C2)CNC(C(C(C3CC3)C4CC4)NC(NC5=C(F)C=C([C@H](C)C(C(N6CCN(C)CC6)=O)NC(CC)=O)C=C5)=O)=O
