Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[77.381773311352, 47.229006406564096, 31.55936838134536]",0.0,0,1.0,False,"(30, 120)",None
1,AM-II,"[53.004758736774995, 43.60514974958184, 35.23468484070001]",0.26230628796590477,0,0.9965934248316116,False,"(30, 120)","Interval: [35.23468484070001, 43.60514974958184] req=9 act=8.37"
2,AM-III,"[85.16946687818589, 62.800940771179825, 44.509892731450634]",0.0,0,1.0,False,"(30, 150)",None
3,AM-IV,"[62.81018560685704, 54.07988971254749, 41.81959290570344]",0.8990136856348366,0,0.988324497589158,False,"(30, 120)","Interval: [54.07988971254749, 62.81018560685704] req=9 act=8.73"
4,AM-V,"[67.74253190826164, 62.58314507413354, 59.60054728922091]",15.309294809192739,0,0.8260307408046279,False,"(30, 150)","Interval: [59.60054728922091, 62.58314507413354] req=9 act=2.98; Interval: [62.58314507413354, 67.74253190826164] req=9 act=5.16"
5,AM-VI,"[67.59211002768694, 58.27070603257483, 51.52812515258521]",0.9405913000043261,0,0.990499077777734,False,"(30, 180)","Interval: [51.52812515258521, 58.27070603257483] req=9 act=6.74"
