Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[50.546124114384725, 32.81573341370581, 40.99191595977343]",0.34325727247182414,0.0,0.9955421133445218,False,"(30, 120)","Interval: [32.81573341370581, 40.99191595977343] req=9.0 act=8.18"
1,AM-II,"[42.95067317247393, 36.611700279150746, 46.864671134343524]",25.82343048269074,0.0,0.6646307729520683,False,"(30, 120)","Interval: [36.611700279150746, 42.95067317247393] req=9.0 act=6.34; Interval: [42.95067317247393, 46.864671134343524] req=9.0 act=3.91"
2,AM-III,"[69.37449449202879, 56.676564902841704, 63.679380806686]",11.848447755588913,0.0,0.8653585482319441,False,"(30, 150)","Interval: [56.676564902841704, 63.679380806686] req=9.0 act=7.00; Interval: [63.679380806686, 69.37449449202879] req=9.0 act=5.70"
3,AM-IV,"[49.85156588644842, 44.456762331319716, 44.750722096916085]",16.6247041325604,0.0,0.7840947515251896,False,"(30, 120)","Interval: [44.456762331319716, 44.750722096916085] req=9.0 act=0.29; Interval: [44.750722096916085, 49.85156588644842] req=9.0 act=5.10"
4,AM-V,"[61.85422114730939, 61.72889134590872, 62.11264698984118]",58.72081452022513,0.0,0.3327180168156235,False,"(30, 150)","Interval: [61.72889134590872, 61.85422114730939] req=9.0 act=0.13; Interval: [61.85422114730939, 62.11264698984118] req=9.0 act=0.26"
5,AM-VI,"[71.27391567706297, 53.490178546798404, 57.41872471867886]",2.113105761716477,0.0,0.9786554973563992,False,"(30, 180)","Interval: [53.490178546798404, 57.41872471867886] req=9.0 act=3.93"
