SMILES,UV_RT-s,Method
CN1N=CC(C(C=C2)=CC=C2C(OCC)=O)=C1,69.6,AM-V
[O-][N+](C1=C(F)C=C(OC)C(NC2=CC=CC(NC(C)=O)=C2)=C1)=O,69,AM-V
CC1=NNC2=C1C=C(C3=CC=CC(C(C)=O)=C3)C=C2,69,AM-V
CC1=NNC2=C1C=C(C3=CC=CC(C(C)=O)=C3)C=C2,69,AM-V
FC1=CC(C=O)=CC=C1/C=C/C(NC(C)(C)C)=O,69,AM-V
O=C(NCC1=NC=CN=C1)C2=CC=CC=C2OCC3=CC=CC=C3,69,AM-V
O=C(NC1=CC=CC(OC2=CC=CN=C2C)=C1)OC(C)(C)C,69,AM-V
O=C(NC1=CC=C2SC=NC2=C1)C3=CC(N(=O)=O)=CC(N(=O)=O)=C3,68.4,AM-V
FC1=CC(C=O)=CC=C1/C=C/C(NC(C)(C)C)=O,68.4,AM-V
FC1=NC=CC=C1C2=CC3=C(C=C2)NC=C3,68.4,AM-V
C[Si](C)(C)C#CC1=CC(C)=NC=C1,68.4,AM-V
CC1=CC=C(C2=C(NN=C2C)C)C=C1[N+]([O-])=O,67.8,AM-V
O=C(N1C(C=CC=C2)=C2CC1)C3=CC=NC4=CC=CC=C34,67.8,AM-V
CC(=O)c1ccc(Nc2cc(C)cc(C)n2)s1,67.8,AM-V
ClC1=CN=C(C=C1)NC(CC2=CSC=C2)=O,67.8,AM-V
CC1=CC([N+]([O-])=O)=CC=C1C2=CC=NN2C,67.8,AM-V
CC1=CC([N+]([O-])=O)=CC=C1C2=CC=NN2C,67.8,AM-V
N#CC1=CC=C(C2=CC=CC3=C2C=NN3)S1,67.8,AM-V
COC1=NC=C(C=C1)NC(C2=CC3=C(C=CC=C3)OC2=O)=O,67.8,AM-V
C1(C2=CN=CN=C2)=CC3=C(NC4=C3C=CC=C4)C=C1,67.2,AM-V
CC(C)N1C=C(C2=CC3=C(NC=C3)C=C2)C=N1,67.2,AM-V
O=C1OC2=C(C=C1)C=C(C3=CN=C(C=C3C)F)C=C2,67.2,AM-V
