Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[60.581962833704026, 28.098471422654747, 78.79385497638377]",0.0,0.7688902549864278,0.9980028824545807,False,"(30, 120)",Range: 28.098471422654747 imp=2 dist=1.90
1,AM-II,"[44.921819891899375, 30.755832384681135, 61.953752091372706]",0.0,0.0,1.0,False,"(30, 120)",None
2,AM-III,"[81.5665409885305, 54.989658188326246, 84.17265924716449]",21.31293913788672,0.0,0.7578075097967418,False,"(30, 150)","Interval: [81.5665409885305, 84.17265924716449] req=9.0 act=2.61"
3,AM-IV,"[58.611081562779894, 43.02008953040393, 64.5864513282547]",10.08210078175066,0.0,0.8690636262110304,False,"(30, 120)","Interval: [58.611081562779894, 64.5864513282547] req=9.0 act=5.98"
4,AM-V,"[65.58959842467442, 58.290445672994665, 74.46547765988926]",6.08322671035135,0.0,0.9308724237460074,False,"(30, 150)","Interval: [58.290445672994665, 65.58959842467442] req=9.0 act=7.30; Interval: [65.58959842467442, 74.46547765988926] req=9.0 act=8.88"
5,AM-VI,"[73.52240659775546, 54.412864830549296, 84.66013189092217]",0.0,0.0,1.0,False,"(30, 180)",None
