Dataset_ID,Method,Values,Distance_Penalty,Range_Penalty,Final_Score,Is_Strict_Penalty,Value_Range,Violations
0,AM-I,"[85.18189927413067, 42.147956759055155, 72.61791287762881]",0.0,0.0,1.0,False,"(30, 120)",None
1,AM-II,"[62.08265928868927, 43.08657256780629, 61.54533274135093]",28.208911508872205,0.0,0.6336504998847765,False,"(30, 120)","Interval: [61.54533274135093, 62.08265928868927] req=9.0 act=0.54"
2,AM-III,"[90.91099978510425, 67.02512173009805, 85.16943079490207]",10.861436699326058,0.0,0.8765745829622039,False,"(30, 150)","Interval: [85.16943079490207, 90.91099978510425] req=9.0 act=5.74"
3,AM-IV,"[66.51881190624664, 52.23856576323424, 63.73839162486305]",20.73193239538803,0.0,0.7307541247352204,False,"(30, 120)","Interval: [63.73839162486305, 66.51881190624664] req=9.0 act=2.78"
4,AM-V,"[73.1431582184864, 66.80816092027106, 76.24271039918077]",28.551501736967662,0.0,0.6755511166253675,False,"(30, 150)","Interval: [66.80816092027106, 73.1431582184864] req=9.0 act=6.33; Interval: [73.1431582184864, 76.24271039918077] req=9.0 act=3.10"
5,AM-VI,"[76.29299024383022, 63.08606586605818, 82.77960709337354]",8.377943834855586,0.0,0.9153743046984284,False,"(30, 180)","Interval: [76.29299024383022, 82.77960709337354] req=9.0 act=6.49"
