feature,importance
fp_341,247.6555938720703
fp_598,246.12806701660156
fp_652,240.9274139404297
fp_77,240.92103576660156
fp_926,237.7172393798828
fp_285,237.09754943847656
fp_624,235.85903930664062
fp_201,235.5162353515625
col72,232.06593322753906
fp_92,231.8676300048828
fp_931,231.1690216064453
fp_552,228.9951934814453
fp_314,228.10154724121094
fp_117,224.05856323242188
fp_891,220.5137481689453
fp_840,219.37680053710938
fp_241,215.018798828125
fp_794,213.5482177734375
fp_291,210.97152709960938
fp_1001,210.2844696044922
fp_712,210.2629852294922
fp_360,209.46621704101562
fp_452,209.4163360595703
fp_488,207.8870391845703
fp_557,207.3768768310547
fp_14,205.91932678222656
fp_338,205.7638397216797
fp_101,204.6559600830078
fp_200,204.05941772460938
fp_838,203.73471069335938
fp_790,203.61839294433594
fp_148,201.0064239501953
fp_147,199.9488983154297
col809,198.9833526611328
fp_829,198.8722686767578
fp_574,198.21444702148438
fp_711,197.07164001464844
fp_992,196.37908935546875
fp_288,194.48910522460938
fp_346,192.3831787109375
fp_828,191.64137268066406
fp_62,189.07020568847656
fp_218,186.5404510498047
col758,183.4851531982422
fp_53,181.20982360839844
fp_11,179.402099609375
fp_297,179.1816864013672
fp_440,175.43360900878906
fp_629,174.7056121826172
fp_888,174.17434692382812
fp_389,171.76956176757812
fp_261,171.5172119140625
fp_1013,170.88783264160156
fp_386,169.0804443359375
fp_1004,168.24612426757812
fp_802,167.88243103027344
col93,167.39332580566406
fp_510,164.46685791015625
col722,164.31997680664062
fp_502,163.42433166503906
fp_265,163.1253204345703
fp_753,160.349365234375
fp_324,159.51821899414062
fp_626,158.6304931640625
col92,158.28799438476562
fp_964,154.02532958984375
fp_965,153.23826599121094
fp_813,150.4851531982422
fp_339,150.44017028808594
fp_615,149.64984130859375
fp_143,148.75286865234375
fp_876,148.5426788330078
fp_185,148.53367614746094
fp_494,147.98812866210938
fp_650,147.9501495361328
fp_114,147.7286834716797
fp_1010,147.5331573486328
fp_100,147.15269470214844
fp_131,146.41473388671875
